1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q1,12640668,12640668,6837347,218919,68399,15148,2181,17510,1429522,3065513,419018,567111
2014:Q2,13148562,13148562,7112108,232131,70951,16621,2138,18353,1471040,3181868,429768,613584
2014:Q3,12978937,12978937,7011576,234548,70153,13240,2096,18392,1438140,3146099,422050,622643
2014:Q4,13150628,13150628,7105428,242444,71052,12490,2085,18846,1458165,3190243,433239,616636
2015:Q1,13519867,13519867,7325972,250370,72779,11639,1986,19394,1484437,3260261,445468,647561
2015:Q2,13533574,13533574,7345209,252566,72826,12468,2120,19500,1468069,3253559,444398,662859
2015:Q3,12605717,12605717,6834061,239211,68392,11482,2117,18423,1359548,3043467,416976,612040
2015:Q4,12897215,12897215,6997671,248200,70376,11144,1919,19072,1396558,3127880,423827,600568
2016:Q1,12962099,12962099,7006882,247352,70821,12223,1932,18672,1386539,3186535,413539,617604
2016:Q2,13208765,13208765,7148396,250271,72344,12197,1987,19129,1401194,3240330,434434,628483
2016:Q3,13682571,13682571,7401845,257706,75186,10134,1983,19936,1441593,3356488,439921,677779
2016:Q4,13615579,13615579,7350037,256039,75349,9489,1931,20010,1438645,3352752,417094,694233
2017:Q1,14327132,14327132,7775809,269675,79081,9739,2065,21242,1481573,3519096,440175,728677
2017:Q2,14795306,14795306,8025094,278805,81480,8505,2092,22123,1503877,3624889,453044,795397
2017:Q3,15346982,15346982,8385511,290128,84513,9022,2279,23180,1536459,3755482,466155,794253
2017:Q4,15898985,15898985,8707623,300875,87391,9648,2331,24365,1570013,3886598,481397,828744
2018:Q1,15874256,15874256,8747300,296662,87114,6118,2406,24824,1537579,3860192,487199,824862
2018:Q2,16077205,16077205,8848571,297661,88364,6360,2320,25147,1553301,3903535,499651,852295
2018:Q3,16559687,16559687,9180791,304271,91287,6344,2378,25763,1592221,4019534,492539,844559
2018:Q4,14669831,14669831,8047855,269891,82155,5731,2516,21283,1399904,3594613,446868,799015
2019:Q1,16179620,16179620,9050178,297314,90398,6622,2995,23192,1524163,3955781,320006,908971
2019:Q2,16669576,16669576,9447790,307158,93288,6948,3255,25061,1547132,4076796,287224,874924
2019:Q3,16694746,16694746,9401811,308822,93689,7253,3224,25790,1529461,4086531,367501,870664
2019:Q4,17659517,17659517,10010100,326381,98937,8027,3305,25794,1594633,4320096,372660,899584
2020:Q1,14543146,14543146,8120916,276629,83406,9587,3214,21565,1296444,3629684,301892,799809
2020:Q2,16776147,16776147,9394718,321158,96380,10117,3753,25477,1482086,4195704,338171,908583
2020:Q3,17749306,17749306,9967116,342140,102230,12359,4040,27997,1545725,4443146,353365,951188
2020:Q4,19562556,19562556,10996298,375704,112780,11535,4780,29686,1694562,4900368,412537,1024306
2021:Q1,20271300,20271300,11493762,392883,116576,12315,6058,31692,1723884,5033741,391968,1068421
2021:Q2,21459746,21459746,12130075,420445,123437,14983,6890,33291,1818962,5297171,390690,1223802
2021:Q3,21374931,21374931,12132142,423094,122954,11646,7362,33075,1776399,5239689,386289,1242281
2021:Q4,22208761,22208761,12829618,444368,128023,14921,7119,36167,1832327,5430074,298294,1187850
2022:Q1,20698125,20698125,11872203,415127,120214,13134,7405,34765,1685475,5083467,283094,1183241
2022:Q2,17759596,17759596,10048823,360696,105071,10966,5711,28541,1436924,4409296,252782,1100786
2022:Q3,16617102,16617102,9353403,339681,99546,12421,4337,28294,1347173,4150576,237192,1044479
2022:Q4,17333353,17333353,9739410,358455,105605,10070,4245,30844,1413508,4382239,207550,1081427
2023:Q1,18166217,18166217,10170184,375289,111196,10157,4025,31181,1460518,4619804,274375,1109488
2023:Q2,18850539,18850539,10599879,389817,116106,11088,4000,32457,1503700,4798627,252410,1142455
2023:Q3,18106592,18106592,10141452,375153,112361,9756,3467,31000,1423489,4627427,236195,1146292
2023:Q4,19599666,19599666,10949981,407399,122585,10464,3956,34006,1533449,5059555,250852,1227419
2024:Q1,20830731,20830731,11708347,431647,130506,10554,4170,35824,1605021,5360968,268736,1274958
