1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q4,68097,42167,18151,4387,762,2078,124,428,0,32509,9726,22783,35588
1985:Q1,69268,42555,18775,4404,779,2146,127,482,0,36979,12981,23998,32289
1985:Q2,65697,38470,19494,4001,799,2236,131,566,0,25712,588,25124,39985
1985:Q3,69970,41296,20450,4293,826,2345,136,624,0,37547,11337,26210,32423
1985:Q4,69436,39009,21596,4583,864,2470,141,773,0,39650,12875,26775,29786
1986:Q1,71213,40329,21836,4717,910,2624,143,654,0,46522,19161,27361,24691
1986:Q2,71284,39574,22148,5000,962,2818,139,643,0,37110,8825,28285,34174
1986:Q3,74018,41274,22637,5294,1027,3007,141,638,0,46937,18369,28568,27081
1986:Q4,76337,42784,23269,4932,1111,3145,164,932,0,49857,20348,29509,26480
1987:Q1,77850,43947,23459,4828,1215,3234,211,956,0,52913,23644,29269,24937
1987:Q2,78929,46928,23480,2970,1340,3272,281,658,0,46485,16065,30420,32444
1987:Q3,79777,47763,23542,2783,1477,3304,358,550,0,49739,19251,30488,30038
1987:Q4,80095,47866,23851,2497,1617,3446,424,394,0,50732,20739,29993,29363
1988:Q1,81366,48823,24369,2001,1696,3536,482,459,0,58412,28045,30367,22954
1988:Q2,79137,46307,25051,1348,1775,3634,533,489,0,44867,13212,31655,34270
1988:Q3,79412,45149,25860,1702,1854,3753,587,507,0,57187,24497,32690,22225
1988:Q4,80873,44371,26761,2701,1933,3910,654,543,0,59645,26010,33635,21228
1989:Q1,107305,49134,27852,23296,1761,4116,734,412,0,73461,38582,34879,33844
1989:Q2,103988,43378,29234,24041,1589,4378,825,543,0,55067,18944,36123,48921
1989:Q3,104801,42076,30543,24497,1417,4643,922,703,0,60776,23844,36932,44025
1989:Q4,101579,38289,31417,24152,1246,4850,1019,606,0,63580,26450,37130,37999
1990:Q1,106677,42256,31781,24462,1409,5005,1119,645,0,72182,34833,37349,34495
1990:Q2,102170,37130,31863,24589,1571,5098,1223,696,0,55652,18293,37359,46518
1990:Q3,108894,40934,31919,27089,1734,5200,1330,688,0,59559,22499,37060,49335
1990:Q4,105683,38302,32000,26008,1897,5371,1441,664,0,59175,22575,36600,46508
1991:Q1,102013,34609,32143,25475,2063,5600,1555,568,0,67637,30048,37589,34376
1991:Q2,93967,27402,32226,23957,2229,5879,1669,605,0,54279,16055,38224,39688
1991:Q3,100611,31379,32372,25801,2395,6187,1790,687,0,54750,16440,38310,45861
1991:Q4,97149,28892,32479,23936,2561,6507,1924,850,0,55468,17111,38357,41681
1992:Q1,103865,34543,32641,24758,2136,6840,2070,877,0,70079,31431,38648,33786
1992:Q2,101505,31419,32794,25255,1710,7193,2226,908,0,52943,14015,38928,48562
1992:Q3,107303,35418,32956,26709,1285,7564,2392,979,0,55719,16980,38739,51584
1992:Q4,106317,35344,33121,25590,860,7949,2565,888,0,57953,19663,38290,48364
