1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,228096,213,45833,3863,0,0,19264,613,14636,1233,2782,0,11337,28,11309,1248,0,30831,341,0,95241,19924,1434610,614171,79256,726,0,78530,127146,46557,16850,63739,1135,77979,10584,318071,820440,411555,4366,404519
1961:Q3,232237,238,46036,4606,0,0,17972,245,13288,1248,3191,0,11417,30,11387,1278,0,31568,357,0,99027,19738,1468362,630600,80254,1017,0,79237,128728,46529,16604,65595,1146,79581,11557,329335,837761,423621,4411,409729
1961:Q4,236749,236,49835,4100,0,0,18828,1089,14096,1248,2395,0,12780,33,12747,1299,0,32088,364,0,97157,20062,1509611,651838,81705,1094,0,80611,133003,48044,17234,67725,1125,80812,13274,341919,857773,437674,4321,415778
1962:Q1,237066,234,46388,5395,0,0,19393,562,14217,1238,3376,0,11346,38,11308,1316,0,32538,372,31,99050,21003,1506395,653391,82568,1131,0,81437,134716,47706,17634,69376,1132,80152,12916,341908,853004,427931,4359,420714
1962:Q2,239885,296,47655,5554,0,0,18221,907,13061,1184,3069,0,12470,44,12426,1342,0,33183,377,82,99621,21084,1418695,663735,84073,1092,0,82981,139105,49621,17974,71510,1151,80605,13001,345800,754959,326582,4428,423949
1962:Q3,244430,788,48433,4903,0,0,17088,1079,11645,1308,3056,0,12503,50,12453,1367,0,33766,394,134,103642,21412,1448142,669502,84921,1363,0,83558,141505,50377,17576,73552,1163,83279,13996,344638,778640,345363,4473,428804
1962:Q4,248323,790,52727,5000,0,0,17583,1304,12307,1275,2697,0,13759,54,13705,1392,0,34401,400,168,101234,20869,1536111,674317,85841,1198,0,84643,146931,52799,18074,76058,1205,83634,14355,342351,861794,424314,4632,432848
1963:Q1,249086,828,45910,5344,0,0,21755,1092,16367,930,3366,0,12372,56,12316,1427,11691,35258,405,187,103764,10145,1563076,675607,86793,1214,0,85579,149145,52374,18981,77790,1218,83543,13596,341311,887470,447981,4681,434808
1963:Q2,253858,1065,47273,5160,0,0,21340,1008,15252,1314,3766,0,13313,56,13257,1460,12026,36117,404,193,104997,10510,1590410,681671,87682,987,0,86695,153885,53990,19485,80410,1246,84677,13743,340437,908739,469026,4789,434924
1963:Q3,258522,1000,47860,5117,0,0,21017,445,14602,1399,4571,0,13536,56,13480,1486,12268,36697,423,195,108117,10806,1614353,686893,88336,1111,0,87225,156342,54350,19155,82837,1271,86626,14713,339605,927461,487677,4888,434896
1963:Q4,263599,731,51445,5687,0,0,21492,969,15128,1608,3787,0,14958,60,14898,1519,12666,37562,428,203,107041,9868,1606515,697491,89382,968,0,88414,162778,57354,20005,85419,1243,89609,15744,338735,909024,465779,4781,438464
1964:Q1,263602,867,46864,6724,0,68,22638,1341,16148,1325,3824,0,13830,65,13765,1548,13226,38273,434,214,108741,10175,1635589,696353,90039,948,0,89091,165474,56947,21300,87227,1260,86959,15109,337512,939236,495027,4852,439357
1964:Q2,268626,978,48853,6452,0,169,22000,1058,15240,1364,4338,0,14509,72,14437,1586,13568,39188,436,225,110307,10355,1664287,703590,91251,889,0,90362,171130,59081,22238,89811,1283,88513,14675,336738,960697,511094,4938,444665
1964:Q3,275080,1243,49083,6309,0,135,21074,1729,14402,1152,3791,0,14697,79,14618,1620,13866,40064,457,238,115925,10369,1693776,710808,92139,1081,0,91058,174514,59824,22186,92504,1295,91487,15338,336035,982968,528953,4981,449034
1964:Q4,279009,1097,50857,6671,0,309,20855,1694,14481,1000,3680,0,16144,84,16060,1658,13844,40974,465,253,115728,10154,1732045,723009,93533,1125,0,92408,180663,62741,22589,95333,1282,96002,16211,335318,1009035,545955,4931,458149
1965:Q1,281662,1033,47544,7704,0,280,21054,995,14092,1078,4889,0,14988,86,14902,1718,14085,42446,475,270,119045,11021,1757836,729750,94189,847,0,93342,186463,65429,23762,97272,1319,96441,15891,335447,1028085,559834,5069,463182
1965:Q2,287234,822,48384,8601,0,198,19512,678,12320,1059,5455,0,15787,86,15701,1773,13763,43805,498,289,121892,11910,1754191,741600,95668,727,0,94941,193716,69066,24750,99900,1320,98788,15316,336793,1012591,539451,5073,468067
1965:Q3,293509,892,47468,9212,0,336,19162,893,11829,1254,5186,0,15801,86,15715,1809,14731,44718,514,309,127680,10877,1814672,749607,97560,926,0,96634,197287,70461,24420,102406,1352,102164,16329,334916,1065064,587928,5206,471930
1965:Q4,312965,781,51276,8993,0,593,19756,1370,12548,1238,4600,0,17354,88,17266,2074,15148,51270,524,330,128822,16044,1879050,764942,98057,797,0,97260,205734,75187,25589,104958,1368,107342,18294,334147,1114107,623812,5256,485039
1966:Q1,315532,884,46170,9886,0,512,20617,2375,12958,1216,4068,0,15966,93,15873,2112,15646,52197,544,351,132773,17873,1873353,773975,101043,820,0,100223,211561,76787,27139,107635,1394,106283,18132,335563,1099377,606267,5368,487742
1966:Q2,320881,917,46966,9708,0,439,19245,2473,11330,1382,4060,0,16721,100,16621,2169,15829,53625,566,370,136705,17621,1876031,787814,103651,861,0,102790,220856,82205,27890,110761,1415,107913,15594,338386,1088217,581050,5447,501720
1966:Q3,325558,932,45828,9774,0,481,18339,1952,10774,1107,4506,0,16285,108,16177,2214,15179,54715,588,393,142709,18121,1838618,802248,106689,1466,0,105223,223625,83409,27016,113200,1409,111304,16562,342659,1036369,523227,5418,507724
1966:Q4,326587,885,50584,8603,0,895,18572,2852,11054,1027,3639,0,17499,114,17385,2207,16847,54524,602,425,141759,13185,1886623,814529,109096,1622,0,107474,229110,86011,28043,115056,1474,115347,17414,342088,1072094,547891,5669,518534
1967:Q1,325565,951,47501,9556,0,568,18078,3495,10445,793,3345,0,16163,115,16048,2258,18608,55795,616,469,142910,12092,1968860,814668,113294,2677,0,110617,232474,86646,29106,116722,1515,111230,16730,339425,1154192,625556,5826,522810
