1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q1,4632204,29338,29480,217962,1098820,13862,296596,505647,102993,179722,2976652,854624,31709,1604353,485966,1267,7273,31816,12860,7607,0,219128,4602196,4299972,-100293,711302,2969379,351722,67961,35617,32344,84265,5308,24758,185569,28069,157500,302224,10801,26480,217255,47688,0,ND
1992:Q2,4621580,29693,22740,207084,1124440,13736,311249,521964,101142,176349,2954268,851213,31415,1589220,482420,1326,7252,32246,12705,7711,0,222114,4597151,4279843,-112209,738831,2926829,352527,68242,33980,34262,84906,5473,25255,189989,29544,160445,317308,11751,26812,227197,51548,0,ND
1992:Q3,4669179,30194,27665,218414,1160086,12881,331587,532461,101286,181871,2945151,845221,30704,1583746,485480,1318,6769,32778,13071,8243,0,225490,4631344,4306245,-86751,759568,2894294,353887,69215,32918,36297,87544,5396,26709,196383,30640,165743,325099,12206,27066,234121,51706,0,ND
1992:Q4,4691104,31870,32079,227245,1187533,12736,342149,546797,99566,186285,2935649,843691,31675,1568331,491952,1635,7601,34215,13132,7416,0,212730,4646129,4316427,-109979,823352,2872193,351859,72908,33911,38997,86547,4523,25590,189433,34605,154828,329702,14827,22813,240958,51104,0,ND
1993:Q1,4680566,30561,34533,214424,1228404,12371,357091,568697,97967,192278,2896861,824221,28862,1556680,487098,1781,7991,34507,13459,8042,0,210003,4622272,4288642,-72917,779277,2829974,366441,69895,30659,39236,91580,4656,25592,194144,32916,161228,333630,19030,22783,249818,41999,0,ND
1993:Q2,4727434,32210,27724,214518,1237246,10209,355085,581566,98695,191691,2933995,835263,27510,1571827,499395,2107,8278,34562,13894,7960,0,214940,4670323,4330915,-80040,826950,2812865,362964,69961,28896,41065,98285,5090,23357,211483,33162,178321,339408,19118,23577,258654,38059,0,ND
1993:Q3,4774546,31735,29934,213998,1260890,9063,360546,592766,101201,197314,2953631,831153,26307,1580720,515451,1980,9206,35482,14447,8151,0,215092,4711168,4355803,-70788,843913,2786360,376423,68068,27112,40956,104757,5256,26529,215284,34264,181020,355365,22737,23431,265127,44070,0,ND
1993:Q4,4846382,32671,34951,224483,1279217,9809,367663,601830,101277,198638,3005170,842563,25257,1602157,535193,2756,10076,46823,14814,8090,0,187331,4777504,4409836,-72631,903514,2786062,366979,67336,26253,41083,108660,5825,27224,216867,32806,184061,367668,22532,25272,275323,44541,0,ND
1994:Q1,4964412,31439,35733,216046,1314722,7766,391595,609159,101778,204424,2993045,846281,24255,1585983,536526,3415,8760,46945,15038,6688,0,292581,4995772,4627146,-43467,875890,2787822,384377,65897,25029,40868,106086,5828,28929,415785,33960,381825,368626,22210,25696,277090,43630,0,ND
1994:Q2,5048067,34426,33358,215080,1306812,7945,379028,614314,101507,204018,3045958,856309,23892,1606018,559739,3451,7760,47822,15752,5698,0,331949,5076571,4695906,-26631,871250,2772986,402752,65318,24566,40752,113540,5854,25535,465302,33059,432243,380665,25609,25866,282630,46560,0,ND
1994:Q3,5060452,31155,30054,209737,1293762,7404,359177,624304,100835,202042,3112403,868464,24715,1631901,587323,3557,7427,48560,16207,5036,0,302555,5066496,4683541,-23899,843535,2781932,411794,67117,25452,41665,121741,6017,28014,447289,33571,413718,382955,25402,26584,289573,41396,0,ND
