1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q2,813921,19610,509974,136343,63087,40238,89,22760,0,84907,26373,58535,0,813921,0,654531,150152,9238,0
1987:Q3,822633,25738,514072,139569,60608,35257,98,25253,0,82646,25082,57563,0,822633,0,660237,153211,9185,0
1987:Q4,833548,26822,525461,140669,52219,32997,106,19116,0,88377,26327,62051,0,833548,0,662791,161609,9148,0
1988:Q1,833998,28582,529046,142092,48804,27940,120,20744,0,85474,26693,58782,0,833998,0,664542,160243,9213,0
1988:Q2,856082,27891,545422,146079,52196,33100,141,18955,0,84494,26569,57926,0,856082,0,677635,169108,9339,0
1988:Q3,856220,30938,546270,148503,49412,31072,147,18193,0,81097,26345,54752,0,856220,0,677764,168982,9474,0
1988:Q4,878153,27035,568300,149960,52091,32790,217,19084,0,80767,25739,55028,0,878153,0,691519,177070,9564,0
1989:Q1,879053,31561,571690,151423,44331,24436,269,19626,0,80048,25875,54173,0,879053,0,689897,179585,9571,0
1989:Q2,893804,32793,580685,156759,48720,26391,277,22052,0,74847,25372,49474,0,893804,0,707786,176565,9453,0
1989:Q3,900086,30530,584252,160650,51542,28259,281,23002,0,73112,24874,48238,0,900086,0,711005,179656,9425,0
1989:Q4,926864,31077,608345,162723,54907,33610,286,21011,0,69812,23387,46426,0,926864,0,712787,186493,9702,17882
1990:Q1,909468,32533,602120,162736,46795,26391,291,20113,0,65284,20990,44294,0,909468,0,703093,178346,10376,17653
1990:Q2,916530,32020,604890,165597,49605,30129,296,19180,0,64418,20615,43803,0,916530,0,704844,182722,11541,17423
1990:Q3,906298,30188,596324,166892,50420,31624,301,18495,0,62474,19413,43061,0,906298,0,695616,180884,12609,17189
1990:Q4,908755,31355,598122,166680,51399,35208,306,15885,0,61199,17059,44139,0,908755,0,687636,191169,12994,16956
1991:Q1,892617,33900,585511,165655,46424,29471,311,16642,0,61127,15520,45607,0,892617,0,668140,195098,12687,16692
1991:Q2,879689,32075,569526,167327,52452,33098,316,19038,0,58309,15542,42767,0,879689,0,653571,198016,11678,16424
1991:Q3,869066,32550,557083,167718,53235,33957,324,18954,0,58480,15616,42864,0,869066,0,634444,207878,10590,16154
1991:Q4,864590,33942,546966,166737,57330,34844,350,22136,0,59615,13386,46229,0,864590,0,618273,220393,10040,15884
1992:Q1,854624,35198,541871,165571,52448,30709,382,21357,0,59536,12179,47356,0,854624,0,612844,216283,10089,15408
1992:Q2,851213,36406,530641,168579,54583,32545,393,21645,0,61004,11423,49582,0,851213,0,604690,221437,10155,14931
1992:Q3,845221,35837,522740,170036,57587,34446,416,22725,0,59021,9452,49569,0,845221,0,599436,221124,10211,14450
1992:Q4,843691,37172,517439,169474,64780,39138,262,25380,0,54826,8883,45943,0,843691,0,593340,226183,10200,13968
1993:Q1,824221,36092,511445,165010,60114,36731,252,23131,0,51560,7565,43995,0,824221,0,584873,215214,10113,14021
1993:Q2,835263,33081,511136,170132,70790,42592,251,27947,0,50124,6954,43170,0,835263,0,595494,215759,9935,14075
1993:Q3,831153,31022,504252,170404,77188,47704,247,29237,0,48287,6994,41293,0,831153,0,597035,210228,9760,14130
1993:Q4,842563,28329,509967,173860,82923,50201,249,32473,0,47484,5806,41677,0,842563,0,605639,213064,9676,14184
1994:Q1,846281,30025,517285,175714,78065,43690,294,34081,0,45192,5768,39424,0,846281,0,609040,213056,9780,14405
1994:Q2,856309,32040,528488,182362,67327,37894,343,29090,0,46092,5131,40962,0,856309,0,621611,210326,9743,14629
1994:Q3,868464,32497,540578,187236,62814,37098,399,25317,0,45339,5265,40073,0,868464,0,628955,214455,10199,14855
1994:Q4,896316,34748,559786,189177,66625,38902,422,27301,0,45980,4939,41040,0,896316,0,643926,225963,11346,15081
1995:Q1,926023,36102,589647,191612,61906,37095,399,24412,0,46756,4724,42032,0,926023,0,666072,233148,11625,15178
1995:Q2,967727,38755,609977,197179,71715,42302,345,29068,0,50101,4323,45778,0,967727,0,693647,246624,12179,15277
1995:Q3,984805,41330,620021,200340,73540,43235,314,29991,0,49574,4475,45099,0,984805,0,704455,252352,12622,15376
1995:Q4,1006065,48120,636165,200634,69778,41643,352,27783,0,51368,4711,46657,0,1006065,0,718022,259423,13145,15475
1996:Q1,1011828,41156,634193,204222,79995,50491,390,29114,0,52262,4213,48049,0,1011828,0,731371,264190,13661,2606
1996:Q2,1036287,47708,643412,212590,77485,49991,443,27051,0,55092,5294,49798,0,1036287,0,745386,274028,14177,2696
1996:Q3,1066630,50336,660819,225786,74504,48332,507,25665,0,55185,5415,49769,0,1066630,0,764638,284707,14506,2779
1996:Q4,1087214,44805,669521,229829,85401,54118,543,30740,0,57658,5187,52472,0,1087214,0,777647,292125,14581,2861
1997:Q1,1126176,53145,689072,242272,83288,50732,590,31966,0,58399,4211,54187,0,1126176,0,809777,298869,14666,2864
1997:Q2,1165924,57168,704488,256238,85464,52354,769,32341,0,62566,4260,58306,0,1165924,0,837784,310120,15053,2967
1997:Q3,1174078,43708,712474,264294,90758,56494,817,33447,0,62844,4383,58461,0,1174078,0,852700,302981,15360,3037
1997:Q4,1221155,55874,733262,276569,87671,52555,1233,33883,0,67779,4441,63338,0,1221155,0,888075,314516,15465,3099
1998:Q1,1243727,59460,746950,277519,89506,51089,1605,36812,0,70292,4751,65541,0,1243727,0,912868,312324,15417,3118
1998:Q2,1292637,57331,777822,289584,96700,56968,1837,37895,0,71200,4999,66201,0,1292637,0,958561,314945,15957,3174
1998:Q3,1323214,61210,807680,297105,84932,50745,2344,31843,0,72287,4774,67513,0,1323214,0,985766,318009,16201,3238
1998:Q4,1356130,67444,828739,302100,82994,49534,2353,31107,0,74853,5883,68970,0,1356130,0,1024696,311574,16328,3532
1999:Q1,1363685,65099,834563,313186,76405,45292,2011,29102,0,74432,5990,68442,0,1363685,0,1049350,294969,15820,3546
1999:Q2,1380557,67229,838442,320663,81556,47289,1988,32279,0,72667,5587,67080,0,1380557,0,1080837,279822,16231,3667
1999:Q3,1408060,61639,854571,335401,80755,50156,1909,28690,0,75694,6144,69551,0,1408060,0,1104910,283041,16318,3791
1999:Q4,1454482,60472,867951,351696,95857,60115,2332,33410,0,78506,6038,72468,0,1454482,0,1145303,288411,16863,3905
2000:Q1,1474740,62949,883458,360317,92076,54342,1453,36281,0,75940,5600,70340,0,1474740,0,1168581,284116,17810,4233
2000:Q2,1521820,60188,903938,384669,96251,61700,645,33906,0,76774,5779,70996,0,1521820,0,1213461,285946,17998,4415
2000:Q3,1533766,54875,909341,390254,100636,64745,734,35157,0,78660,6053,72607,0,1533766,0,1223484,287326,18389,4567
2000:Q4,1564226,60588,918905,402120,98692,63764,1814,33114,0,83921,6232,77689,0,1564226,0,1236638,304689,17973,4926
2001:Q1,1554556,49580,904932,414192,103397,70262,1016,32119,0,82455,6277,76178,0,1554556,0,1227198,304310,18100,4948
2001:Q2,1532871,43934,869496,427554,111162,76713,1137,33312,0,80725,5869,74856,0,1532871,0,1217682,291366,18418,5405
2001:Q3,1524423,51575,843261,436376,113028,76020,1272,35736,0,80183,6439,73744,0,1524423,0,1211100,289181,18575,5567
2001:Q4,1488998,38256,811191,445636,114584,84305,1998,28281,0,79331,6592,72739,0,1488998,0,1175754,285132,22502,5610
2002:Q1,1476906,36206,796870,449459,113715,82801,2066,28848,0,80656,6250,74407,0,1476906,0,1154164,294817,22231,5694
2002:Q2,1443434,25579,750064,457792,127755,94207,2380,31168,0,82244,6462,75782,0,1443434,0,1131110,283444,22371,6509
2002:Q3,1423203,24324,730144,463867,123888,95252,2478,26158,0,80980,7040,73940,0,1423203,0,1123570,270520,22417,6696
2002:Q4,1403374,17774,708528,469317,126419,101111,3043,22265,0,81336,6946,74390,0,1403374,0,1111803,265935,18156,7480
2003:Q1,1379469,18834,684398,469829,127331,96755,3243,27333,0,79077,6314,72763,0,1379469,0,1097804,256203,17969,7493
2003:Q2,1369351,21817,652300,473860,147388,111156,2098,34134,0,73986,6421,67565,0,1369351,0,1095440,247320,18175,8416
2003:Q3,1346604,14918,636610,476922,143948,111522,3069,29357,0,74206,5831,68375,0,1346604,0,1092763,226959,18135,8747
