date,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092305.Q,FA763092305.Q,FA513092305.Q,FA543092375.Q,FA613092305.Q,FA663092305.Q,FA733092305.Q,FA103192305.Q,FA115114305.Q,FA753192305.Q,FA513192305.Q,FA543192375.Q,FA613192305.Q,FA663192305.Q,FA733192305.Q,FA503192305.Q,FA263092305.Q,FA263092323.Q,FA263192323.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q2,1292,3680,2388,1054,2,40,20,148,28,0,12465,-12,-908,672,148,652,580,120,-1,13716,20680,6964,60384,64740
1996:Q3,16968,9968,-7000,14806,730,680,124,484,144,0,3364,-16,64,-100,112,-1044,280,0,-0,2660,18944,16284,92516,61032
1996:Q4,28556,55712,27156,24060,1444,-972,220,1108,2696,0,2743,820,-1848,-648,2388,988,896,0,1,5340,3068,-2272,119592,106164
1997:Q1,4684,5432,748,4053,139,268,120,48,56,0,38050,228,1984,1728,1180,1376,1652,20,-2,46216,40208,-6008,118180,114504
1997:Q2,4956,15156,10200,4070,238,288,20,292,48,0,25424,120,2604,1516,2448,-152,1344,0,0,33304,38492,5188,99536,92600
1997:Q3,1608,11392,9784,1527,9,204,-40,12,-104,0,1775,84,576,1200,324,-2036,524,4,1,2452,27720,25268,84868,71460
1997:Q4,12752,36000,23248,10846,106,1840,492,1724,-2256,0,25108,-276,4528,5128,3964,-1476,5532,60,0,42568,40332,-2236,116640,143836
1998:Q1,25780,26288,508,23793,1007,668,256,-112,168,0,15955,40,384,724,368,-308,148,-24,1,17288,12836,-4452,167376,79036
1998:Q2,59704,61684,1980,51965,2251,2384,588,2260,256,0,20032,68,764,980,780,980,448,-12,0,24040,21200,-2840,178756,81564
1998:Q3,-11304,15792,27096,-9733,-823,-380,-260,-116,8,0,21402,28,2768,940,556,-416,416,24,-2,25716,28136,2420,81916,93960
1998:Q4,29956,69392,39436,23671,-4247,1184,748,7612,988,0,41963,-436,4148,56,1096,2196,316,60,1,49400,113684,64284,142532,461620
1999:Q1,114768,135508,20740,99953,2843,4448,1004,5432,1088,0,62379,344,2952,3552,2112,-1368,2624,48,1,72644,81244,8600,273992,115036
1999:Q2,63980,76728,12748,55658,1530,2256,592,3052,892,0,34922,-16,5244,896,3588,1628,-1052,48,2,45260,52044,6784,200132,562804
1999:Q3,53428,89032,35604,46853,1107,2120,504,2076,768,0,57102,248,2696,5040,1660,1400,1648,-8,-2,69784,71408,1624,255136,202576
1999:Q4,14848,28288,13440,22060,452,-2820,-1564,-20520,17240,0,56353,-172,7476,-2388,-880,720,6152,64,-1,67324,61164,-6160,167304,276004
