1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q3,-539,10702,159388,-1752,15784,0,44823,5299,-10984,-6992,1220,56280,6431,3984,2447,-260,16183,-2552,80,44769,0,0,0,35882,0,-2000,0,37882,144768,148608,0,1672,556,35844,89380,0,1260,19896,0,1108,9128,-21200,30860,-3840,-4396,556,0,-25861,0,115292,0,0,0
1998:Q4,-860,11041,67012,4044,-1536,0,52485,2269,-11392,-5572,1396,65784,16913,-3716,20629,748,3083,-1128,104,25805,0,0,0,-33506,0,-4536,0,-28970,100644,109192,0,1812,1096,80608,1524,0,1276,22876,0,236,14680,29996,-22036,-8548,-13152,4604,0,21731,0,134036,0,0,0
1999:Q1,5692,11049,219844,-11432,10052,0,103606,1422,-6136,16304,2636,89380,4254,-17576,21830,1004,31828,468,240,29964,0,0,0,49860,0,4820,0,45040,179396,183120,0,3324,2112,40636,8376,0,764,127908,0,4696,-352,9056,114508,-3724,-4504,780,0,-45805,0,77464,0,0,0
1999:Q2,5204,11455,142336,5204,3648,0,54100,-6996,-8588,10004,2152,57528,17801,-2272,20073,592,24674,1368,136,35890,0,0,0,-1077,0,332,0,-1409,155688,123220,0,3060,3588,56644,28308,0,828,30792,0,6432,-1180,2684,22856,32468,-3160,35628,0,7101,0,114140,0,0,0
1999:Q3,5937,11824,139532,-480,19072,0,22451,-4193,-10164,4772,1712,30324,11918,1712,10206,504,33506,2120,220,39998,0,0,0,10222,0,176,0,10046,132012,139216,0,1132,1660,28556,-12152,0,824,119196,0,2124,18320,29028,69724,-7204,-6828,-376,0,-13407,0,71796,0,0,0
1999:Q4,7480,11963,49436,6156,4336,4,19683,26967,-10212,-300,1064,2164,12827,-192,13019,-1564,24875,1328,-56,49269,0,0,0,-67422,0,3124,0,-70546,6432,11524,0,-4556,-880,67424,78696,0,792,-129952,0,0,11448,-42852,-98548,-5092,-9488,4396,0,-47487,0,124096,0,0,0
2000:Q1,3263,12195,184724,-5712,-6968,8,94606,1186,-5992,15632,-584,84364,54,-428,482,-136,-1776,3408,-332,80684,3396,1452,1180,14860,0,-2972,4292,13540,118864,118140,0,-768,956,50452,32260,2624,28,32588,0,2884,8292,-6260,27672,724,-6180,6904,0,-74792,0,99100,8160,2492,32
2000:Q2,5395,12563,168224,6644,-2576,4,25107,3687,-7100,7208,-1616,22928,15223,4816,10407,-12,1027,1732,0,55185,3396,1448,1184,59862,0,772,4288,54802,183700,159456,0,-1108,1436,32516,97564,2628,56,26364,0,12296,11152,-30716,33632,24244,12864,11380,0,8308,0,124936,8156,2488,16
2000:Q3,8843,12708,211952,-8084,1100,4,69079,-457,-5936,13896,-1020,62596,15783,6848,8935,232,1576,1512,420,65772,3396,1448,1172,58541,0,-592,4280,54853,208832,177424,0,-356,9036,49776,106176,2616,52,10124,0,6068,16972,-34352,21436,31408,-4936,36344,0,-6985,0,144532,8148,2480,28
2000:Q4,6162,12840,106232,5428,10624,4,34544,-10396,-7540,9740,-1344,44084,3436,4000,-564,-320,-15807,-2028,4,28835,3392,1452,1168,35500,0,3240,4288,27972,163968,110948,0,-732,-3340,48168,97036,2612,56,-32852,0,8560,10792,-42508,-9696,53020,-4756,57776,0,51058,0,123020,8152,2484,12
2001:Q1,6649,13082,445820,52928,25272,5560,122548,-54456,-3784,23644,-112,157256,7482,5092,2390,200,1347,2264,-84,477,9396,4060,2568,211802,0,-3292,4648,210446,280124,280744,10880,-2440,3860,114936,208172,5088,13412,-73164,0,11188,-4856,-83816,4320,-620,-6780,6108,52,-172129,0,262828,27664,22904,68
2001:Q2,7522,12840,230360,26276,-9424,6848,126049,-7383,-4336,18444,-352,119676,8566,1300,7266,-136,4355,92,-432,44909,9392,4064,2616,7185,0,-1080,4644,3621,250440,246868,-1048,92,1668,109108,18260,5144,-4020,117664,0,23716,27428,34292,32228,3572,-5040,8512,100,14762,0,206920,27672,22904,56
2001:Q3,-4170,12630,262928,22604,31356,-5768,144992,14504,-4096,18600,-180,116164,13426,5520,7906,136,18230,688,104,8306,9388,4056,2564,12845,0,3172,4648,5025,269596,277076,1760,3544,1624,21568,261432,5084,-180,-17756,0,12364,23680,-128984,75184,-7480,-10908,3564,-136,-10132,0,178260,27644,22884,68
2001:Q4,6899,12259,80728,28080,-8668,-1740,82671,-64025,18204,14592,-1384,115284,8914,-668,9582,-996,-46217,3044,56,24161,9392,4056,2604,-24629,0,-596,4640,-28673,98540,89156,-6348,1416,-7532,89220,-102756,5124,-2604,112636,0,11624,4492,95016,1504,9384,19240,-4372,-5484,12452,0,91000,27660,22888,48
2002:Q1,10143,11211,310736,-7556,6632,22924,247926,-1638,32248,80504,1692,135120,10976,2500,8476,136,16374,428,104,40926,8992,4076,5032,-46234,0,1328,3720,-51282,299356,303888,59904,2464,1136,104056,-58308,11932,-2220,184924,0,32272,5688,82844,64120,-4532,-7420,4984,-2096,-12448,0,171180,17596,13416,68
2002:Q2,8021,11168,266236,-2152,11132,8220,155428,5008,26444,58856,684,64436,6345,736,5609,700,20181,7132,244,6159,9000,4084,5004,34759,0,-520,3716,31563,316876,313992,5872,1268,-2212,101716,187972,11916,-5724,13184,0,20844,24168,-85472,53644,2884,-9152,4084,7952,47493,0,243936,17600,13416,64
2002:Q3,7178,11224,332352,36920,19008,9164,243896,-3108,35904,84200,1532,125368,5920,2384,3536,48,903,1540,136,-25919,8988,4072,4988,22688,0,2880,3712,16096,315060,315976,-9912,2020,-1292,71008,214732,11888,-484,28016,0,14308,10492,-126196,129412,-916,-9200,4316,3968,-21338,0,172084,17596,13392,60
2002:Q4,8435,10914,239076,-34816,-14076,-26196,257354,14058,37184,105660,1164,99288,14746,3344,11402,648,20179,900,392,4453,8992,4076,5048,-2624,0,-72,3716,-6268,100864,101228,-4100,2568,9992,1580,170436,11952,3640,-94840,0,12248,3728,53152,-163968,-364,-180,-6176,5992,-140691,0,237932,17592,13404,56
2003:Q1,5372,10970,418312,35348,9148,30732,214167,-27053,2024,27312,6336,205548,9577,-1536,11113,-320,6033,224,324,4851,11808,4528,3676,88216,0,2764,3424,82028,407476,409228,23844,4548,-2032,84536,73908,5776,-7960,226608,0,23136,10876,-6488,199084,-1752,-6480,2060,2668,-16434,0,173444,24696,33636,88
2003:Q2,3739,11176,332820,2768,-16232,-9932,222967,-12905,-7184,26816,6812,209428,13105,1856,11249,276,6388,1188,768,50580,11812,4524,3704,40904,0,1364,3424,36116,285160,287780,328,1516,-1692,84272,-21924,5820,556,218904,0,26152,9976,120848,61928,-2620,-3724,-5248,6352,-55097,0,206104,24700,33628,92
2003:Q3,1832,11537,187104,9960,3704,-5100,121251,-6545,-4356,8024,5580,118548,10426,-1496,11922,72,3355,716,968,78497,11800,4528,3688,-56761,0,72,3420,-60253,165928,170084,12604,3236,-2520,92968,16188,5800,1304,40504,0,15928,28124,56228,-59776,-4156,-6160,568,1436,-30881,0,195444,24684,33628,80
2003:Q4,2088,11711,95500,2356,-41768,-26068,96747,-26309,-25572,10032,6040,132556,14084,1464,12620,132,-26596,1232,548,58240,11808,4524,3712,-3451,0,-384,3420,-6487,102896,105740,-33472,2584,-3544,51584,17332,5816,-1716,67156,0,20344,5144,126948,-85280,-2844,576,-8248,4828,-2227,0,217892,24696,33620,80
2004:Q1,11147,12030,383404,-5972,11844,6632,160132,-3924,6020,10592,3616,143828,10632,560,10072,-4,16757,-724,236,60411,20432,8948,7204,86876,0,-296,3492,83680,395592,395600,2612,-400,580,19064,137636,14980,7076,214052,0,29880,12216,-18008,189964,-8,-4528,-308,4828,11305,0,159620,51472,58600,156
2004:Q2,13984,12285,252644,19064,8392,-784,132808,-13112,-928,7456,3744,135648,9172,4184,4988,316,15208,3476,96,34580,20440,8948,7196,-6267,0,3096,3484,-12847,280460,239524,8976,2784,5560,65396,108724,14980,-2704,35808,0,18976,876,25048,-9092,40936,-6208,49896,-2752,29515,0,206336,51476,58600,140
2004:Q3,17301,12736,243516,752,13712,-1800,138773,-3511,2320,5976,3704,130284,19942,5296,14646,220,11836,3328,24,41504,20428,8944,7188,-21335,0,1340,3488,-26163,255092,241588,-2796,104,1296,60348,170752,14972,-1104,-1984,0,14384,13712,-33160,3080,13504,-7044,14436,6112,16141,0,204200,51460,58576,152
2004:Q4,19448,13017,201804,2524,-21572,2368,106767,-22029,-2472,2096,4036,125136,24443,4112,20331,-344,-21225,948,1872,40869,20432,8944,7236,28542,0,1880,3484,23178,182780,182156,-13720,9972,3584,62860,66432,15020,4360,33648,0,11756,23860,97516,-99484,624,-9264,8192,1696,-12593,0,245960,51460,58584,140
2005:Q1,19461,11903,303492,-23160,13100,28756,175930,-25926,14484,40648,4300,142424,12317,1376,10941,28,19216,1428,-204,35528,7664,4264,3052,25573,0,1056,192,24325,274020,281956,26376,-1956,-84,18300,127868,6884,-2780,107348,-3400,27252,7816,2392,73288,-7936,-9688,2212,-460,-21914,0,174456,-18228,17824,332
2005:Q2,19723,12231,132876,23616,-17176,-8792,75453,-3871,14544,4856,2168,57756,15106,7048,8058,-16,-2400,2388,-184,41348,7660,4252,3076,-11455,0,2840,188,-14483,151708,147768,-220,2276,-3232,7816,131980,6912,612,1624,3600,10148,5832,8176,-26132,3940,-812,7632,-2880,26324,0,160944,-18228,17800,340
2005:Q3,8966,12466,206480,6784,5644,-10928,113826,12126,16972,7948,2432,74348,9206,2072,7134,624,9221,5532,-8,35075,7664,4260,3096,16484,0,-2956,184,19256,196724,166176,3252,352,2740,41520,16708,6928,-3272,97948,68,11648,20416,27064,38752,30548,-3892,2244,32196,-13256,0,108028,-18248,17812,328
2005:Q4,8013,12554,41400,-22032,-17592,-13116,47071,5195,13724,-6352,1360,33144,28500,8476,20024,-724,-549,-3692,-60,5929,7660,4252,3084,2670,0,2560,188,-78,30532,37048,784,476,-4180,11900,113040,6916,-1372,-90516,3196,10700,9592,27344,-141348,-6516,-3864,-5924,3272,-15409,0,160524,-18232,17796,324
2006:Q1,7386,11994,269244,9000,10524,-3004,114743,-161,-1820,27740,5160,83824,26839,7876,18963,-652,14961,-1696,12,53671,20800,19172,4216,658,0,796,4776,-4914,286372,299436,12820,2876,-1928,113992,45880,14232,1692,109872,176,16936,30284,4200,58276,-13064,-19908,8488,-1644,12520,0,169180,54180,45200,524
2006:Q2,5200,12224,233492,2844,29016,-544,71288,1376,-3016,-1872,6740,68060,39348,13364,25984,-312,-50,-36,-344,15766,20776,19164,4184,32392,0,724,4772,26896,240360,226192,-2400,1380,6228,38448,107564,14200,-2792,63564,-252,45576,19588,-14148,12800,14168,-17872,33740,-1700,-156,0,153400,54176,45148,520
2006:Q3,7750,12498,261980,2700,20264,904,48169,15225,-2936,-24320,-2268,62468,25554,11100,14454,80,10235,3184,72,43177,20788,19172,4200,63480,0,228,4776,58476,245180,228720,-12624,2556,1548,92240,58772,14228,2056,69944,60,8428,13708,1280,46468,16460,-9848,11064,15244,-21548,0,137164,54176,45184,520
2006:Q4,7713,12761,150892,21164,9364,2392,-50941,2303,-20056,-29428,1940,-5700,29559,9568,19991,32,-28487,2612,476,48367,20784,19164,4228,72178,0,656,4772,66750,141996,155372,3704,4580,60,102396,9064,14244,10796,10528,-48,16880,9036,9056,-24396,-13376,-10572,-1760,-1044,-13944,0,122220,54164,45164,512
2007:Q1,-6123,12966,210116,12756,5332,-2476,73458,8926,-16256,8944,5080,66764,27959,13816,14143,-388,24202,6656,252,36302,7372,8904,-536,10324,0,2144,2816,5364,200024,213248,-13912,5040,-2176,53736,30220,12400,-5528,133468,168,9936,18040,28440,76884,-13224,-18228,540,4464,-29181,0,129248,40232,4700,532
