1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q3,78219,1644,-2936,208,3036,17164,3036,23644,6464,164,-16144,720,32824,6116,19443,20027,-584,78240
1987:Q4,79662,528,788,312,1372,39848,1372,13808,136,644,23888,-308,16904,-3288,23506,23698,-192,79684
1988:Q1,80977,32,2180,388,-100,16220,-100,18816,-10536,-564,8604,468,24460,-1508,38837,39013,-176,81004
1988:Q2,82373,972,416,632,-1388,32452,-1388,-2520,-3036,300,39096,756,15576,-1224,34181,34357,-176,82400
1988:Q3,83764,-1436,2492,224,-1728,21000,-1728,23200,-44,-480,52,-204,36092,-3740,31064,30948,116,83792
1988:Q4,85160,-1304,2512,12,-1140,16324,-1140,7676,-16840,-356,26984,68,15276,-1752,55164,48744,6420,85188
1989:Q1,88662,-2900,4028,396,548,42276,548,1592,10292,-264,30108,-1884,7408,-812,39602,37138,2464,88688
1989:Q2,90897,-368,1180,684,132,42748,132,2428,24032,-256,16412,-56,14104,-232,32705,27961,4744,90924
1989:Q3,93132,-1180,1728,44,692,20964,692,6136,13860,-268,544,708,14004,448,55724,50600,5124,93160
1989:Q4,95367,-508,840,724,-3292,18944,-3292,-3208,15240,-272,10476,16,20680,-1616,59579,55303,4276,95396
1990:Q1,97401,2476,-2324,552,1064,65900,1064,41472,12044,844,10476,-472,-4644,-744,35593,34233,1360,97436
1990:Q2,99557,2112,-2104,-464,5764,28940,5764,22148,7484,28,-6484,248,18212,3524,43325,38445,4880,99592
1990:Q3,101714,1592,-604,-300,1640,9688,1640,7384,20680,-964,-19052,272,29220,-3164,63370,64186,-816,101748
1990:Q4,103870,1032,-404,212,1652,-25484,1652,-7648,6384,912,-26784,3000,47328,2396,74138,73314,824,103904
1991:Q1,107688,-2432,27828,-276,6208,18348,6208,35636,336,-436,-23396,2004,35064,6104,14840,30524,-15684,107720
1991:Q2,110508,1096,-9712,328,10920,15736,10920,6436,6864,492,-8976,-960,22300,2640,68160,64748,3412,110540
1991:Q3,113328,-6408,-9312,808,17420,-11684,17420,-59220,-400,248,30268,1412,40304,6604,74184,73108,1076,113356
1991:Q4,116147,3076,-4296,-224,-8008,-15192,-8008,6184,-26052,280,12404,844,58680,4732,76535,78179,-1644,116176
1992:Q1,120205,612,-1688,80,1724,38752,1724,25640,-10520,-260,22168,-2852,8432,4452,70693,70225,468,120244
1992:Q2,123517,1900,-192,36,5544,20872,5544,24220,-24688,-80,15876,3572,20896,4864,66025,66013,12,123560
1992:Q3,126838,7896,-1792,444,11552,65600,11552,78872,-4800,-624,-19400,-3040,2624,792,42762,45578,-2816,126880
1992:Q4,130157,424,-3872,64,4428,25064,4428,23428,-33100,268,30040,588,23440,6944,73077,71049,2028,130200
1993:Q1,127999,-2716,2596,1360,2156,-4944,2156,5664,-28084,60,15260,-3232,62580,4892,65307,64935,372,128052
1993:Q2,129130,1172,4040,1280,4500,46928,4500,25712,-2648,628,18736,-4556,-2728,5372,73122,72770,352,129184
1993:Q3,130263,-2676,-188,92,-25828,68292,-25828,41820,8284,2420,41596,2196,24872,7268,56235,57927,-1692,130316
1993:Q4,131389,4636,-9296,1340,2248,4848,2248,-17532,6588,596,12948,-2104,48296,6744,74677,75449,-772,131448
1994:Q1,133695,-4572,-1444,1552,-200,21336,-200,27540,19168,-2620,-22552,432,25812,4284,86495,87643,-1148,133732
1994:Q2,135287,1272,-1396,1004,10040,-1976,10040,-14776,17704,516,-15460,1216,33104,5240,86783,85775,1008,135324
1994:Q3,136878,5372,-11536,176,8736,2616,8736,-13084,-26496,1036,32424,332,8768,8540,113874,111646,2228,136916
1994:Q4,138474,-1600,-612,604,10928,15712,10928,-7264,5928,32,6088,700,36584,58460,17698,17874,-176,138512
1995:Q1,140366,-6392,212,452,6776,81648,6776,37676,19172,-236,18260,792,-18200,15432,59646,61086,-1440,140408
1995:Q2,142082,-1808,232,1488,6952,5508,6952,-31008,13608,312,15644,644,24636,12692,91738,90322,1416,142124
1995:Q3,143797,1832,6460,684,-7496,8900,-7496,-23756,32500,972,6680,752,34200,7332,91133,90121,1012,143840
