1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q2,49686,35074,-57613,656895,1917,1268,-40198,-42360,-2180,-60096,17517,-252,2651,607317,214722,1288,320912,70396,-145,-496,5700,1100,-4176,0,126968,714508,679312,280841,-25428,397948,53795,14507,1363,13144,112910,424,-3572,-152112,6272,-158384,35196,4936,588,29772,-100,72225,0,ND
2000:Q3,41175,33073,33516,405582,-9971,-3556,27297,68612,-148,-300,-39224,-1432,109716,319645,41497,-1976,197651,82472,1516,2840,17200,1236,-232,0,-19004,372066,294186,-80596,-118182,382722,31260,9748,-2024,11772,-26348,7980,38508,49095,1112,47983,77880,4308,-2424,54480,21516,-25415,0,ND
2000:Q4,42745,32644,-264844,608536,1148,5684,205012,84306,936,-65892,36247,4108,108907,208143,99757,-4199,77129,35457,191,-1824,12748,2880,5644,0,84604,873380,724520,-17111,-78140,475000,97260,17967,-3633,21600,31311,-10500,28668,180065,7420,172645,148860,7876,23076,42916,74992,274945,0,ND
2001:Q1,41367,35946,-118370,286029,6085,-4868,223352,-64645,192,-74593,-6517,2864,13410,268346,-45508,-90,256783,57160,422,3128,220,3516,17952,0,-167479,404399,333975,-279463,-63950,401205,113364,12882,-398,13280,48175,3720,-4992,103033,2652,100381,70424,4904,-4864,55796,14588,123791,0,ND
2001:Q2,43310,36362,92420,126784,-451,3276,-132019,119078,1532,9166,-31401,11798,127983,137923,-57789,-3312,151470,47553,-377,2808,3244,2336,4504,0,-13537,34364,3448,60369,-27124,347587,-154956,-6458,-3926,-2532,-11387,2600,-17492,-189692,-2924,-186768,30916,5884,13552,43492,-32012,-85473,0,ND
2001:Q3,48290,34354,-145827,682808,-2179,25160,68948,262617,-824,23189,165653,3042,71557,28625,-45389,-6737,100508,-19756,505,8016,3948,3252,4296,0,279621,828635,797127,84527,71224,260000,53558,3587,-6625,10212,21855,1540,87972,212863,5516,207347,31508,2860,-244,96812,-67920,159762,0,ND
2001:Q4,56430,33665,-38653,467835,8301,-29836,-43333,337575,3384,-39017,233065,13096,127046,87699,-154577,-1429,213307,30398,1150,-368,-1752,3764,26828,0,77806,506488,432916,50741,272369,406338,30314,-51,-1711,1660,40569,708,-55972,-312100,-8000,-304100,73572,19024,8700,48020,-2172,61418,0,ND
2002:Q1,57239,28285,198324,378554,-14061,19748,-25444,168355,8,655,179119,-3733,-7695,75447,-35137,-130,38894,71821,816,-2732,-672,3868,-8196,0,161425,180230,172330,-57075,-302592,540699,-125790,-10934,-858,-10076,-13673,988,35120,105586,-64,105650,7900,5180,3256,25504,-26040,-169371,0,26117
2002:Q2,57606,32618,-242165,333959,-975,-364,34736,222710,84,82836,185813,-1633,-44389,94805,-126684,1394,196123,23973,912,1916,972,3496,-3940,0,-20309,576124,407488,-157188,-19062,204518,60124,2700,1720,980,-29267,-3856,67000,282518,-5368,287886,168636,8080,6496,69276,84784,267153,0,124567
2002:Q3,56350,33445,-204204,931203,9653,3376,84001,223549,-508,39031,131287,7000,46738,433310,-91052,-444,467158,57647,-116,1928,5304,1884,-3844,0,172158,1135407,1081703,134044,186651,368685,184527,-4490,-358,-4132,52104,-2800,-17700,180683,14220,166463,53704,4224,3652,72828,-27000,227108,0,313490
