1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,128,199,1467,-27,0,805,250,-144,0,-2,701,-469,1,908,10,239,250,0,-11,1536,1217,0,0,833,-1222,2055,13,20,-58,409,250,244,-85,319,65,51,197,6,0,-3
1974:Q3,137,210,922,-20,0,730,250,896,0,17,-433,-301,0,263,12,238,250,0,-12,1214,672,0,0,-256,-165,-91,13,20,-14,909,250,1010,-351,542,65,50,187,240,0,219
1974:Q4,164,219,847,-19,0,928,250,533,0,100,45,-149,1,-163,11,238,250,0,-12,1019,597,0,0,556,167,389,33,20,-23,11,250,169,-408,422,55,110,176,81,0,116
1975:Q1,202,211,-472,-12,500,-125,250,457,0,-173,-659,-2,0,-1083,12,238,250,0,-12,-172,-722,800,0,-864,-213,-651,3,20,16,-697,250,900,-1847,550,65,12,123,350,0,291
1975:Q2,227,211,1378,-10,500,70,250,-900,0,41,679,128,1,440,11,238,250,0,-12,1462,1128,800,0,830,26,804,3,20,-46,-479,250,335,-1064,334,65,12,92,165,0,100
1975:Q3,203,213,-45,-1,500,-832,250,-559,0,14,-537,321,0,-283,12,238,250,0,-12,81,-295,700,0,-1182,885,-2067,3,20,37,127,250,-2437,2314,376,65,12,94,205,0,116
1975:Q4,165,216,4858,9,500,1912,250,-102,0,44,1720,575,1,1612,12,237,250,0,-13,5507,4608,700,0,4100,897,3203,4,20,28,-244,250,-391,-103,899,55,14,120,710,0,599
1976:Q1,45,218,2978,165,491,509,-1,1567,0,500,-1557,1354,0,-2556,12,3003,247,0,2756,3158,2998,923,0,-805,-880,75,0,20,217,2643,-63,256,2450,160,236,2,-298,220,0,8
1976:Q2,71,226,1729,108,715,-312,-507,-148,0,131,212,1264,1,6,12,-65,-227,0,162,1964,1661,730,0,808,1724,-916,9,20,-98,192,-95,-31,318,303,3,34,24,242,0,80
1976:Q3,88,236,4312,-47,325,3782,795,2572,0,106,309,422,0,-58,13,-125,15,0,-140,4510,4338,4343,0,235,951,-716,9,20,-14,-255,-5,-174,-76,172,2,34,-62,198,0,50
1976:Q4,113,245,7310,54,1813,3830,2930,461,0,304,135,865,-16,227,29,508,1235,0,-727,7647,7122,-277,0,7113,2854,4259,1,20,23,242,823,-78,-503,525,27,85,144,269,0,204
1977:Q1,86,255,-5297,64,1167,-7869,-3607,-3980,0,-82,-200,426,0,-39,13,941,180,0,761,-5296,-5222,1733,0,-7428,-1435,-5993,11,20,-55,497,-141,84,554,-74,49,44,-140,-27,0,-168
1977:Q2,103,262,4585,48,976,1468,200,366,0,539,363,1088,1,149,12,843,619,0,224,4860,4467,1520,0,1320,480,840,13,20,-24,1618,1010,304,304,393,2,47,124,220,0,116
1977:Q3,117,268,-196,-53,2373,-2334,-474,-1842,0,84,-102,-43,0,74,13,-226,-138,0,-88,75,-212,955,0,-837,1716,-2553,12,20,-8,-354,-41,6,-319,287,69,48,-50,220,0,120
1977:Q4,146,279,2425,-41,206,3425,3334,202,0,-109,-2,546,-1,259,15,-1984,59,0,-2043,2504,2585,-3003,0,7349,1723,5626,-7,10,-2,-1762,11,646,-2419,-81,14,73,-166,-2,0,-54
1978:Q1,155,270,2399,84,749,-2248,-589,-1297,0,-390,28,1874,-1,-79,-25,2045,-374,0,2419,2548,2211,6939,0,-6122,-2684,-3438,2,20,-23,1395,-444,604,1235,337,27,7,147,156,0,34
1978:Q2,203,294,3636,-18,1067,-676,-698,63,0,258,-299,2549,-1,231,-25,509,603,0,-94,3441,3501,-511,0,2871,1179,1692,2,20,61,1058,804,-2742,2996,-60,25,10,79,-174,0,-286
1978:Q3,251,310,2852,197,1293,-1605,-1217,-18,0,-387,17,1781,-1,105,-24,1106,547,0,559,2923,2625,128,0,1461,-7,1468,1,20,78,937,390,42,505,298,35,0,145,118,0,12
1978:Q4,246,327,-74,-74,2955,819,1638,-703,0,292,-408,-3586,-5,-218,-20,55,-31,0,86,225,-23,-5046,0,4972,-1109,6081,-23,30,-48,92,-530,213,409,248,38,27,-109,292,0,218
