1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q1,6544178,65345,52773,5590,3211544,48720,199170,404468,157530,2401656,509993,152881,357112,2688,511953,68538,1935,1290813,173212,84285,51933,513576,35,27066,59738,426737,6180692,5901388,22945,50503,16300,1658715,2608743,100246,8413,1435523,1107,63524,322448,718787,329657,279304,141127,121845,16332,53865,5130368,504147,379358,11262
2013:Q2,6529007,54853,52544,6340,3188770,49690,191809,396693,156928,2393650,516754,154678,362076,2886,515967,66789,1942,1282116,178358,85740,50837,525111,34,28968,60727,435382,6236321,5929634,23528,51740,15632,1670550,2621024,98542,6512,1442106,1429,56625,325269,715252,343531,306687,171083,119748,15856,55074,5141009,524027,383262,9993
2013:Q3,6606160,63272,54655,6545,3159593,54788,185253,387576,155551,2376425,525118,154247,370871,2645,533782,72989,2064,1344276,183556,87198,49745,520722,33,27963,61717,431009,6360772,6042729,23144,50817,15064,1696447,2704842,96875,7139,1448401,1472,55425,331949,722672,336883,318043,181043,120782,16218,51025,5253292,545881,387617,8721
2013:Q4,6702217,56281,51653,3382,3143430,62150,178422,380396,154970,2367492,534873,157417,377456,2582,564503,78173,2866,1416712,188757,88657,48650,521698,0,29072,62706,429920,6515938,6177068,21473,51495,13402,1723573,2800929,95213,7280,1463703,20,53492,333549,735479,341163,338870,210288,117870,10712,55810,5383100,567977,391988,7448
2014:Q1,6806916,62594,50731,3164,3195085,56910,185171,385121,159345,2408538,540266,160655,379611,3458,563425,80463,2896,1429522,189485,86872,49374,549581,0,30052,63879,455650,6583673,6251355,21505,51874,13160,1743050,2835381,95945,7414,1483026,17,50427,339521,734224,358837,332318,206169,115203,10946,57420,5433606,567671,386693,9997
2014:Q2,6935512,61376,49712,2954,3262134,53737,192604,391672,165166,2458955,547271,162579,384692,3494,572398,85217,2967,1471040,190223,85088,50096,551542,0,31426,65053,455063,6692526,6349290,23834,52481,13173,1769378,2891162,96681,7123,1495458,12,54349,345066,738132,357899,343236,213655,118045,11536,59815,5524436,568035,381519,12545
2014:Q3,6971931,64590,52228,2987,3312193,52781,200011,396156,170287,2492958,557763,166781,390982,3690,565565,83752,2993,1438140,190925,83300,50822,562983,0,30767,66223,465993,6687118,6353128,23162,52816,13976,1785769,2876188,97397,6730,1497090,3,57320,347879,734079,357809,333990,206753,115767,11470,62829,5521551,566536,375991,15094
2014:Q4,7086982,61982,56153,3409,3348479,53277,207502,399190,174512,2513998,569711,170120,399591,3622,571447,84230,2955,1458165,191640,81516,51545,602128,0,30297,67396,504435,6781972,6445787,22502,53355,13061,1814228,2920139,98117,6773,1517612,20,61141,348670,735452,372329,336185,210743,113949,11493,53941,5596643,566342,370696,17640
2015:Q1,7153541,62025,54295,3232,3324152,50478,207410,391839,175938,2498487,580475,175581,404894,3547,570862,84268,3076,1484437,195872,82810,55254,649236,0,31407,68357,549472,6863246,6540914,22760,55581,13769,1840293,2949440,102101,7876,1549094,16,64185,352100,737546,395247,322332,192857,117697,11778,53960,5657995,569693,355524,15760
2015:Q2,7118358,53783,53363,2968,3314558,47118,207511,388308,177953,2493668,588101,172805,415296,3343,568769,80305,3427,1468069,200105,84100,58967,638500,0,32272,69317,536911,6868141,6540099,23074,57797,13525,1853168,2963305,106084,7963,1515183,97,63365,351976,734799,364946,328042,203549,112749,11744,50554,5681808,572053,340198,13882
