1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q2,36210,1000,-1000,0,0,0,0,0,3520,0,0,21065,0,11625,6684,4941,57919,12357,0,8956,4283,4673,0,0,3401,0,3401,45562,45562,0
1973:Q3,43332,2500,-2500,0,0,0,0,0,4637,0,0,21343,0,17352,9216,8136,67629,14783,0,10088,5231,4857,0,0,4695,0,4695,52846,52846,0
1973:Q4,43007,2500,-2500,0,0,0,0,0,4300,0,0,22303,0,16404,9531,6873,62998,14678,0,9959,4881,5078,0,0,4719,0,4719,48320,48320,0
1974:Q1,46910,3000,-3000,0,0,0,0,0,4904,0,0,23913,0,18093,10601,7492,64522,16011,0,11575,6045,5530,0,0,4436,0,4436,48511,48511,0
1974:Q2,49372,3000,-3000,0,0,0,0,0,5372,0,0,25719,0,18281,10823,7458,50388,16854,0,12961,6952,6009,0,0,3893,0,3893,33534,33534,0
1974:Q3,47517,3500,-3500,0,0,0,0,0,4914,0,0,27309,0,15294,11824,3470,41410,16230,0,15107,8639,6468,0,0,1123,0,1123,25180,25180,0
1974:Q4,49270,3500,-3500,0,0,0,0,0,4901,0,0,28290,0,16079,12211,3868,43147,16833,0,15192,8332,6860,0,0,1641,0,1641,26314,26314,0
1975:Q1,51071,4000,-4000,0,0,0,0,0,4677,0,0,29990,0,16404,13600,2804,49010,17454,0,16049,8954,7095,0,0,1405,0,1405,31556,31556,0
1975:Q2,54754,4000,-4000,0,0,0,0,0,4667,0,0,31955,0,18132,14387,3745,55706,18715,0,15974,8791,7183,0,0,2741,0,2741,36991,36991,0
1975:Q3,58515,4000,-4000,0,0,0,0,0,4496,0,0,33960,0,20059,15311,4748,48968,20004,0,16231,8798,7433,0,0,3773,0,3773,28964,28964,0
1975:Q4,63048,4200,-2700,0,1500,120,330,1050,3400,0,0,36020,0,20628,17980,2648,52858,23400,0,19954,8654,11300,0,0,3446,700,2746,29458,29458,0
1976:Q1,65412,4200,-2500,0,1600,128,352,1120,3500,0,0,37140,0,21472,18860,2612,60889,24800,0,20327,8427,11900,0,0,4473,700,3773,36089,36089,0
1976:Q2,67773,4300,-2400,0,1700,136,374,1190,3600,0,0,38192,0,22381,19808,2573,63411,26200,0,20508,8008,12500,0,0,5692,700,4992,37211,37211,0
1976:Q3,70030,4300,-2200,0,1800,144,396,1260,3700,0,0,39380,0,23050,20620,2430,62121,27500,0,21394,7894,13500,0,0,6106,800,5306,34621,34621,0
1976:Q4,73273,4400,-1840,0,2055,164,452,1439,3781,0,0,41035,0,23842,21726,2116,66480,29066,0,22230,7859,14371,0,0,6836,800,6036,37414,37414,0
1977:Q1,76028,4400,-1600,0,2300,184,506,1610,3700,0,0,42232,0,24996,21768,3228,65232,30600,0,22965,7965,15000,0,0,7635,800,6835,34632,34632,0
1977:Q2,78366,4500,-1300,0,2600,208,572,1820,3800,0,0,43352,0,25414,22648,2766,66287,32000,0,24230,8530,15700,0,0,7770,900,6870,34287,34287,0
1977:Q3,80698,4500,-900,0,3000,240,660,2100,3800,0,0,44472,0,25826,23528,2298,66766,33100,0,25315,8915,16400,0,0,7785,900,6885,33666,33666,0
1977:Q4,84218,4600,-530,0,3349,268,737,2344,3810,0,0,47213,0,25776,23828,1948,69230,35164,0,26200,9135,17065,0,0,8964,900,8064,34066,34066,0
1978:Q1,86396,4700,-100,0,3000,240,660,2100,4000,0,0,48046,0,26750,24454,2296,70495,36400,0,27446,10146,17300,0,0,8954,900,8054,34095,34095,0
1978:Q2,88261,2738,2462,0,2700,216,594,1890,4200,0,0,49933,0,26228,24067,2161,73720,37300,0,30299,12027,18272,0,0,7001,228,6773,36420,36420,0
1978:Q3,90121,2776,3224,0,2400,192,528,1680,4400,0,0,50919,0,26402,24581,1821,78593,38200,0,31675,13005,18670,0,0,6525,230,6295,40393,40393,0
1978:Q4,93887,2945,3790,0,2065,165,454,1446,4628,0,0,52803,0,27656,25793,1863,78617,41027,0,35095,15835,19260,0,0,5932,234,5698,37590,37590,0
1979:Q1,96375,3620,3280,0,2500,200,550,1750,4500,0,0,53625,0,28850,26876,1974,80584,42400,0,36500,16435,20065,0,0,5900,235,5665,38184,38184,0
1979:Q2,98776,4414,2686,0,3000,240,660,2100,4400,0,0,54352,0,29924,28148,1776,83485,42600,0,39804,18956,20848,0,0,2796,252,2544,40885,40885,0
1979:Q3,101776,4047,3253,0,3500,280,770,2450,4300,0,0,56363,0,30313,28637,1676,87457,44600,0,41581,20415,21166,0,0,3019,734,2285,42857,42857,0
1979:Q4,104714,2945,4652,0,3722,298,819,2605,4230,0,0,58986,0,30179,28425,1754,85692,46735,0,41741,20382,21359,0,0,4994,1045,3949,38957,38957,0
1980:Q1,106520,4023,3977,0,3800,304,836,2660,4100,0,0,60027,0,30593,29973,620,79668,47000,0,44621,22502,22119,0,0,2379,1181,1198,32668,32668,0
1980:Q2,110161,3805,4695,0,3800,304,836,2660,4000,0,0,62284,0,31577,30716,861,89662,49100,0,45613,22624,22989,0,0,3487,1311,2176,40562,40562,0
1980:Q3,113634,4542,4458,0,3900,312,858,2730,3900,0,0,64027,0,32807,31973,834,90451,51100,0,46721,23062,23659,0,0,4379,1641,2738,39351,39351,0
1980:Q4,118373,5856,3513,0,3904,312,859,2733,3703,0,0,64977,0,36420,35007,1413,94363,54059,0,50268,25943,24325,0,0,3791,1840,1951,40304,40304,0
1981:Q1,116537,6201,2399,0,3700,296,814,2590,2700,0,0,66494,0,35043,31506,3537,93755,50500,0,47186,25767,21419,0,0,3314,2081,1233,43255,43255,0
1981:Q2,122542,8692,1728,0,3643,291,801,2551,3167,0,0,69811,0,35501,34249,1252,105217,55906,0,52144,28857,23287,0,0,3762,2308,1454,49311,49311,0
1981:Q3,131450,12447,-247,0,3700,296,814,2590,3650,0,0,72247,0,39653,37753,1900,107850,64500,0,57604,32609,24995,0,0,6896,2505,4391,43350,43350,0
1981:Q4,141256,13034,967,0,3860,309,849,2702,4092,0,0,77350,0,41953,40010,1943,111482,64886,0,59772,32959,26813,0,0,5114,2876,2238,46596,46596,0
1982:Q1,144365,15462,738,0,2900,232,638,2030,3500,0,0,76546,0,45219,42954,2265,112333,67700,0,61365,34634,26731,0,0,6335,2869,3466,44633,44633,0
1982:Q2,147123,19386,-902,0,1904,152,419,1333,2928,0,0,74551,0,49256,47450,1806,109656,69944,0,65793,38016,27777,0,0,4151,1876,2275,39712,39712,0
1982:Q3,156290,15563,1537,0,2300,184,506,1610,3000,0,0,85147,0,48743,46853,1890,115485,73000,0,63112,33685,29427,0,0,9888,3173,6715,42485,42485,0
1982:Q4,165457,15493,230,0,2700,216,594,1890,3053,0,0,92177,0,51804,49378,2426,122068,74197,0,67268,34550,32718,0,0,6929,3158,3771,47871,47871,0
1983:Q1,166185,17413,787,0,2750,220,605,1925,2600,0,0,89364,0,53271,52638,633,128503,75000,0,69393,34981,34412,0,0,5607,2888,2719,53503,53503,0
1983:Q2,169111,17826,1669,0,2773,222,610,1941,2240,0,0,89181,0,55422,53539,1883,134561,77045,0,72141,35612,36529,0,0,4904,2936,1968,57516,57516,0
1983:Q3,183112,18366,2634,0,3600,288,792,2520,2450,0,0,97300,0,58762,55700,3062,141059,84000,0,76303,37158,39145,0,0,7697,3255,4442,57059,57059,0
1983:Q4,197420,19324,3075,0,4492,359,988,3145,2726,0,0,105697,0,62106,59232,2874,153136,89074,0,80212,38007,42205,0,0,8862,3852,5010,64062,64062,0
1984:Q1,198030,21463,1537,0,4100,328,902,2870,2300,0,0,101598,0,67032,62402,4630,148815,93000,0,77571,41384,36187,0,0,15429,3813,11616,55815,55815,0
