1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q3,6758,-476,1026,2160,3473,1777,-20,1716,0,575,132,443,0,6758,0,6022,736,0,0
1977:Q4,11985,414,5282,1599,4112,2398,-9,1723,0,578,169,409,0,11985,0,10329,1656,0,0
1978:Q1,5530,-1094,8237,2421,-4320,-1625,-11,-2684,0,286,42,244,0,5530,0,3558,1972,0,0
1978:Q2,16642,1037,6387,4933,3398,2244,-25,1179,0,887,-81,968,0,16642,0,14736,1906,0,0
1978:Q3,5876,-600,-876,4645,-66,-50,-9,-7,0,2773,709,2064,0,5876,0,2857,3019,0,0
1978:Q4,17846,2254,5614,3524,1656,2770,-5,-1109,0,4798,1462,3336,0,17846,0,13125,4721,0,0
1979:Q1,5997,-1346,6685,3287,-2922,-857,-4,-2061,0,293,806,-513,0,5997,0,2874,3123,0,0
1979:Q2,19949,-971,9942,5131,5320,2915,-6,2411,0,527,-819,1346,0,19949,0,17029,2920,0,0
1979:Q3,18177,-206,8210,4334,1083,2226,-6,-1137,0,4756,2492,2264,0,18177,0,11797,6380,0,0
1979:Q4,11169,811,5971,2980,-157,82,-7,-232,0,1564,-346,1910,0,11169,0,8683,2486,0,0
1980:Q1,4801,-371,7258,460,-1941,-256,-2,-1683,0,-605,567,-1172,0,4801,0,2521,2214,66,0
1980:Q2,-8201,600,-11166,642,-91,-136,-3,48,0,1814,1354,460,0,-8201,0,-6123,-2175,97,0
1980:Q3,11576,-864,10901,692,-1289,722,-3,-2008,0,2136,774,1362,0,11576,0,8194,3266,116,0
1980:Q4,29586,1993,20023,1105,2708,607,-2,2103,0,3757,1849,1908,0,29586,0,22903,6562,121,0
1981:Q1,-2890,-1614,-1989,1899,-2587,-828,-2,-1757,0,1401,-913,2314,0,-2890,0,-4483,1454,139,0
1981:Q2,23177,1625,10412,4868,5215,1980,-3,3238,0,1057,288,769,0,23177,0,24526,-1466,117,0
1981:Q3,17213,-391,13242,3440,-493,394,-2,-885,0,1415,570,845,0,17213,0,11535,5489,189,0
1981:Q4,35570,2820,10513,1196,2520,363,-2,2159,0,18521,5470,13051,0,35570,0,34323,892,355,0
1982:Q1,16061,-2072,13438,-1276,-3896,1298,-2,-5192,0,9867,1295,8572,0,16061,0,9760,5762,539,0
1982:Q2,28832,1001,20728,-591,988,9,2,977,0,6706,3248,3458,0,28832,0,23677,4409,746,0
1982:Q3,15868,-645,16082,-1880,1382,-89,1,1470,0,929,1107,-178,0,15868,0,9610,5481,777,0
1982:Q4,13627,2259,10184,-2811,2673,1373,0,1300,0,1322,881,441,0,13627,0,12154,835,638,0
1983:Q1,342,-3630,-683,-551,394,1209,0,-815,0,4812,2532,2280,0,342,0,-2123,1939,526,0
1983:Q2,8292,120,-350,1385,4150,376,-6,3780,0,2987,2201,786,0,8292,0,10691,-2857,458,0
1983:Q3,13108,-354,5848,579,-1985,105,-5,-2085,0,9020,785,8235,0,13108,0,4669,8025,414,0
1983:Q4,8775,2948,20957,708,3739,738,-4,3005,0,-19577,-4447,-15131,0,8775,0,6288,2085,402,0
1984:Q1,20942,-3079,15662,3954,-2281,-1509,0,-772,0,6686,1098,5588,0,20942,0,18392,2193,357,0
1984:Q2,28705,-2372,20102,6155,3319,3364,2,-47,0,1501,1565,-64,0,28705,0,26541,1875,289,0
1984:Q3,11535,-2498,2877,5050,601,361,1,239,0,5505,1871,3634,0,11535,0,11539,-301,297,0
1984:Q4,34968,4913,20619,2612,4788,976,0,3812,0,2036,-511,2547,0,34968,0,27829,6756,383,0
1985:Q1,3222,-1282,10920,200,-5680,-3556,1,-2125,0,-936,-778,-158,0,3222,0,3492,-757,487,0
1985:Q2,14268,5705,2406,3018,2677,-2155,4,4828,0,462,-224,686,0,14268,0,10237,3417,614,0
1985:Q3,11352,-3720,9283,426,7147,5700,7,1440,0,-1784,641,-2425,0,11352,0,7521,3251,580,0
1985:Q4,27029,5802,18651,-1592,1192,-2443,8,3627,0,2976,-667,3643,0,27029,0,14327,12318,384,0
1986:Q1,1275,-1104,6589,-452,-2110,-1492,6,-624,0,-1648,173,-1821,0,1275,0,2174,-1100,201,0
1986:Q2,10908,-7895,9350,1216,10188,9985,6,197,0,-1951,-1461,-490,0,10908,0,9097,1774,37,0
1986:Q3,-1022,-4085,2174,528,-226,5222,7,-5455,0,587,-148,734,0,-1022,0,-8234,7245,-33,0
1986:Q4,56626,9833,47915,-698,-382,-1067,4,681,0,-42,349,-390,0,56626,0,41621,15011,-6,0
1987:Q1,-25462,-4197,-14850,-42,-8057,-5689,9,-2377,0,1684,2768,-1084,0,-25462,0,-27787,2334,-9,0
1987:Q2,6305,922,4235,4408,1112,227,9,876,0,-4372,-2268,-2105,0,6305,0,3563,2785,-43,0
1987:Q3,8711,6128,4098,3226,-2479,-4981,9,2493,0,-2262,-1290,-972,0,8711,0,5705,3059,-53,0
1987:Q4,10916,1084,11389,1100,-8389,-2260,8,-6137,0,5732,1244,4487,0,10916,0,2555,8398,-37,0
1988:Q1,3543,1760,6678,1423,-3415,-5057,14,1628,0,-2903,366,-3269,0,3543,0,4844,-1366,65,0
1988:Q2,22084,-691,16376,3987,3392,5160,21,-1789,0,-980,-124,-856,0,22084,0,13093,8865,126,0
1988:Q3,138,3047,848,2424,-2784,-2028,6,-762,0,-3397,-224,-3173,0,138,0,129,-126,135,0
1988:Q4,13933,-3903,14029,1458,2679,1718,70,891,0,-330,-606,276,0,13933,0,5755,8088,90,0
1989:Q1,1254,4526,3743,1463,-7760,-8354,52,542,0,-718,137,-855,0,1254,0,-1268,2515,7,0
1989:Q2,14750,1232,8995,5336,4389,1955,8,2426,0,-5202,-503,-4699,0,14750,0,17888,-3020,-118,0
1989:Q3,6283,-2263,3568,3890,2822,1868,4,950,0,-1734,-498,-1236,0,6283,0,3220,3091,-28,0
1989:Q4,8896,547,6210,2074,3365,5351,5,-1991,0,-3300,-1488,-1812,0,8896,0,1782,6837,277,0
1990:Q1,-17397,1456,-6225,13,-8112,-7219,5,-898,0,-4529,-2397,-2132,0,-17397,0,-9695,-8147,674,-229
1990:Q2,7062,-513,2770,2861,2810,3738,5,-933,0,-866,-375,-491,0,7062,0,1751,4376,1165,-230
1990:Q3,-10232,-1832,-8566,1295,815,1495,5,-685,0,-1944,-1202,-742,0,-10232,0,-9228,-1838,1068,-234
1990:Q4,2457,1167,1797,-211,979,3584,5,-2610,0,-1275,-2354,1079,0,2457,0,-7980,10285,385,-233
1991:Q1,-11779,2545,-8252,-1025,-4975,-5737,5,757,0,-72,-1539,1467,0,-11779,0,-15137,3929,-307,-264
1991:Q2,-12928,-1825,-15984,1671,6028,3627,5,2396,0,-2818,21,-2840,0,-12928,0,-14569,2918,-1009,-268
1991:Q3,-10622,475,-12443,391,783,859,8,-84,0,172,74,97,0,-10622,0,-19126,9862,-1088,-270
1991:Q4,-4476,1392,-10117,-981,4095,887,26,3182,0,1135,-2230,3365,0,-4476,0,-16171,12515,-550,-270
1992:Q1,-13137,1256,-8265,-1166,-4882,-4135,32,-779,0,-80,-1207,1127,0,-13137,0,-8600,-4110,49,-476
1992:Q2,-3410,1208,-11230,3008,2135,1836,11,288,0,1469,-756,2225,0,-3410,0,-8153,5154,66,-477
1992:Q3,-5992,-569,-7901,1457,3004,1901,23,1080,0,-1983,-1970,-13,0,-5992,0,-5254,-313,56,-481
1992:Q4,-1531,1335,-5301,-562,7193,4692,-154,2655,0,-4196,-569,-3626,0,-1531,0,-6097,5059,-11,-482
1993:Q1,-19469,-1080,-5995,-4463,-4666,-2407,-10,-2249,0,-3265,-1318,-1947,0,-19469,0,-8466,-10969,-87,53
1993:Q2,11041,-3011,-309,5122,10676,5861,-1,4816,0,-1437,-611,-826,0,11041,0,10620,545,-178,54
1993:Q3,-4110,-2059,-6883,271,6398,5112,-4,1290,0,-1837,40,-1877,0,-4110,0,1541,-5531,-175,55
1993:Q4,11410,-2693,5715,3456,5735,2497,2,3236,0,-803,-1187,384,0,11410,0,8604,2836,-84,54
1994:Q1,3613,1696,7318,1854,-4858,-6511,45,1608,0,-2397,-38,-2359,0,3613,0,3402,-114,104,221
1994:Q2,10028,2015,11203,6648,-10738,-5796,49,-4991,0,900,-638,1538,0,10028,0,12571,-2730,-37,224
1994:Q3,12154,457,12090,4874,-4513,-796,56,-3773,0,-754,135,-888,0,12154,0,7343,4129,456,226
1994:Q4,27852,2251,19208,1941,3811,1804,23,1984,0,641,-326,967,0,27852,0,14971,11508,1147,226
1995:Q1,29707,1354,29861,2435,-4719,-1807,-23,-2889,0,776,-215,991,0,29707,0,22146,7185,279,97
