1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1248246,387297,860949,126134,30094,28544,1550,0,1152,0,0,398,68212,167593,164696,2897,0,0,0,0,2897,468916,76803,1171443,2.4109029599038245,3.4954451022434205,13.426279649071631,19.46607732505754
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1366090,430932,935158,135533,30221,28451,1770,0,1308,0,0,462,68597,187921,184698,3223,0,275,0,0,2948,512885,85567,1280523,2.2122265228364903,3.2316472457917946,13.756123900531293,20.095112076914724
1952:Q1,1384691,437115,947576,135929,32780,30920,1860,0,1359,0,0,501,68481,189705,186382,3323,0,289,0,0,3034,520681,86224,1298467,2.3673149476729014,3.45935266916568,13.700167240643314,20.020027397927862
1952:Q2,1411524,448848,962676,136453,35001,33084,1917,0,1407,0,0,510,68618,195986,192554,3432,0,312,0,0,3120,526618,90411,1321113,2.4796601605888737,3.6358024387853654,13.884708329281192,20.358457666003503
1952:Q3,1427379,453488,973891,140793,36733,34755,1978,0,1462,0,0,516,68829,195633,192052,3581,0,320,0,0,3261,531903,93441,1333938,2.573458048840188,3.771777298750624,13.705750101237374,20.08777143948169
1952:Q4,1435727,463998,971729,145149,37238,35169,2069,0,1530,0,0,539,69176,184802,181107,3695,0,369,0,0,3326,535364,97890,1337837,2.5936681524494043,3.8321374651474436,12.871665017158678,19.01784918186202
1953:Q1,1448423,472950,975473,147798,37350,35208,2142,0,1600,0,0,542,69877,181488,177850,3638,0,383,0,0,3255,538960,100207,1348216,2.5786672599266525,3.8289131921176716,12.530044542692591,18.605135138180774
1953:Q2,1455147,481976,973171,147194,41237,39045,2192,0,1672,0,0,520,69783,172180,168575,3605,0,408,0,0,3197,542777,104699,1350448,2.833872285476384,4.2373859561341884,11.832483694578261,17.692681667608813
1953:Q3,1472267,493036,979231,151399,41625,39364,2261,0,1737,0,0,524,69946,167445,163841,3604,0,434,0,0,3170,548816,107229,1365038,2.8272720810412832,4.250783599844408,11.373275041680666,17.09963867569843
1953:Q4,1496451,493418,1003033,154668,41020,38681,2339,0,1792,0,0,547,70364,181570,177571,3999,0,478,0,0,3521,555411,110624,1385827,2.7411520209808424,4.08959578297334,12.133373292284046,18.102094254375164
1954:Q1,1519099,498301,1020798,155101,41463,39020,2443,0,1848,0,0,595,70699,192961,188597,4364,0,521,0,0,3843,560574,110496,1408603,2.7294471011643076,4.061822749072768,12.70233321486062,18.90295877008008
1954:Q2,1544606,501395,1043211,157058,40964,38450,2514,0,1906,0,0,608,71195,208529,203774,4755,0,537,0,0,4218,565465,114312,1430294,2.6520671907566644,3.926720830466551,13.50046184994865,19.989140905584403
1954:Q3,1584295,510860,1073435,162898,39990,37369,2621,0,1973,0,0,648,71729,227122,221809,5313,0,564,0,0,4749,571696,117763,1466532,2.5241513535710003,3.7254240304975013,14.3358415535322,21.158433524747522
1954:Q4,1606807,520894,1085913,166045,39806,37084,2722,0,2051,0,0,671,72409,228886,222894,5992,0,631,0,0,5361,578767,123092,1483715,2.477335231539512,3.6656706341837144,14.244770934184615,21.07774427914821
1955:Q1,1631784,527830,1103954,167823,41555,38748,2807,0,2130,0,0,677,72984,235692,229229,6463,0,710,0,0,5753,585900,126315,1505469,2.5465993571348116,3.7641968109239254,14.443823743997545,21.349803267002333
1955:Q2,1674019,540617,1133402,168027,43169,40234,2935,0,2207,0,0,728,73186,257249,249979,7270,0,904,0,0,6366,591771,133426,1540593,2.578764420984639,3.8087994738079103,15.367151625793449,22.697070949931923
1955:Q3,1718708,555200,1163508,173014,45344,42276,3068,0,2273,0,0,795,73478,271515,264068,7447,0,1089,0,0,6358,600156,138787,1579921,2.6382611363944495,3.897180569381681,15.797624215952252,23.335898515694844
1955:Q4,1744755,565453,1179302,175816,46506,43368,3138,0,2318,0,0,820,73853,273490,265346,8144,0,1217,0,0,6927,609637,144426,1600329,2.6654741081589695,3.943518226200491,15.674977719872633,23.190831283782142
