1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,292399,270,1373,0,0,60758,0,1515,4401,1248,53594,7423,14477,0,208098,208098,0,292534
1974:Q4,300652,254,1543,0,0,61684,0,1585,4583,983,54533,7702,16400,0,213069,213069,0,300799
1975:Q1,310007,317,1811,0,0,63492,0,1559,4719,789,56425,7705,20263,0,216419,216419,0,310168
1975:Q2,319363,332,1688,0,0,65872,0,2215,4836,728,58093,7810,24371,0,219290,219290,0,319537
1975:Q3,328721,296,1342,0,0,67748,0,2548,5045,906,59249,7875,22267,0,229193,229193,0,328906
1975:Q4,338077,275,1171,0,0,70714,0,2540,5254,1940,60980,7542,24300,0,234075,234075,0,338275
1976:Q1,339306,265,1065,0,0,73056,0,3058,5536,2193,62269,7543,28204,0,229173,229173,0,339518
1976:Q2,340533,285,1133,0,0,76687,0,3632,5855,3150,64050,7623,28717,0,226088,226088,0,340762
1976:Q3,341759,254,1055,0,0,78968,0,3900,6275,3383,65410,7625,29254,0,224603,224603,0,342005
1976:Q4,342982,266,1148,0,0,79959,0,4057,6836,3360,65706,7732,30100,0,223777,223777,0,343248
1977:Q1,351332,236,1098,0,0,81459,0,4712,8412,2872,65463,7684,28699,0,232156,232156,0,351621
1977:Q2,359683,300,1401,0,0,84540,0,6568,8619,3628,65725,7864,29936,0,235642,235642,0,359995
1977:Q3,368031,320,1483,0,0,87795,0,6757,8839,3556,68643,7622,29322,0,241489,241489,0,368368
1977:Q4,376378,280,1416,0,0,91175,0,6760,9585,3544,71286,8041,30000,0,245466,245466,0,376742
1978:Q1,386092,332,1758,0,0,94464,0,7624,10968,3386,72486,8082,29203,0,252253,252253,0,386485
1978:Q2,395798,387,2043,0,0,98950,0,9095,11351,3732,74772,8246,32043,0,254129,254129,0,396227
1978:Q3,405501,419,2436,0,0,102405,0,9543,11921,3668,77273,8407,35155,0,256679,256679,0,405969
1978:Q4,415201,385,2354,0,0,107409,0,9454,13965,3951,80039,8586,33300,0,263167,263167,0,415711
1979:Q1,426628,459,2747,0,0,109371,0,10677,14432,4073,80189,8797,35504,0,269750,269750,0,427196
1979:Q2,438050,479,2844,0,0,113753,0,13327,14496,3867,82063,9017,35908,0,276049,276049,0,438682
1979:Q3,449467,484,3055,0,0,114725,0,13287,14065,3880,83493,9322,38316,0,283565,283565,0,450168
1979:Q4,460883,566,3458,0,0,116955,0,14706,15360,3910,82979,9604,37100,0,293200,293200,0,461654
1980:Q1,466478,616,3569,0,0,122397,0,16159,15981,4101,86156,10054,34654,0,295188,295170,18,467301
1980:Q2,472069,664,3556,0,0,129872,0,17582,17783,4025,90482,10295,38460,0,289222,289187,35,472948
