1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q2,33688,22049,-5282,27331,-123,11762,33688,10371,-671,73,-296,13100,0,-52,-6,-2979,2611,-1,-1,-15597,23630,162,1317,-65,386,0,1706
2016:Q3,-4433,-6250,2885,-9135,-2231,4048,-4433,2807,-742,232,542,10875,0,-123,46,3513,2473,22,46,-53474,20703,300,1475,-1215,5531,0,2556
2016:Q4,-74,-100,283,-383,-1786,1812,-74,7441,-686,404,829,14078,0,6,373,185,843,3,137,-134,-22925,-993,1261,-471,-2899,0,2474
2017:Q1,-12059,-12400,-216,-12184,-308,649,-12059,-14666,-695,205,202,1956,0,-54,-14,-4095,1836,1,11,-8347,11416,10,623,-169,-1415,0,1136
2017:Q2,9550,-3378,-5541,2163,3065,9863,9550,2248,-620,154,-223,6724,0,-72,134,-2106,1118,0,-14,-14378,11014,289,1482,-454,1182,0,3072
2017:Q3,-24020,-15028,8341,-23369,-3568,-5424,-24020,-27318,-746,198,37,3397,0,-348,-347,-3124,2046,-11,327,-6667,10185,-40,1245,-417,-4013,0,1576
2017:Q4,45101,30397,2188,28209,1952,12752,45101,7675,-420,229,484,8984,0,-2,66,-566,1484,1,341,7197,7387,-28,1784,-158,9370,0,1273
2018:Q1,-19549,-18295,935,-19230,1517,-2771,-19549,-24877,449,23,55,-12263,0,15,-147,654,1789,0,413,-2136,16215,-37,799,-186,-354,0,39
2018:Q2,2217,-993,-4492,3499,-264,3474,2217,7051,467,-114,399,-9584,0,-9,75,-7366,-822,0,336,3386,7074,2244,2258,-36,-2648,0,-494
2018:Q3,-16188,-8134,5658,-13792,-2715,-5339,-16188,1972,417,-42,468,-14234,0,-69,-449,-8628,-652,-21,-670,-4521,10225,-390,485,-331,-781,0,1033
2018:Q4,-10781,-12177,771,-12948,-595,1991,-10781,17838,400,-130,-390,-3765,0,-18,402,-23583,-3024,-5,642,12733,-11438,168,3175,-137,-1510,0,-2139
