1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,229196,80691,148505,229196,34066,6966,650,23868,59975,24110,35865,65415,488,268,555,3388,0,3388,4147,0,4147,2152,1614,538,0,0,0,5274,0,0,0,822,0,822,518,0,2212,0,2007,0,0,16425,0,16425,0,78891
1970:Q4,237659,87923,149736,237659,30777,6283,700,22940,62142,25965,36177,71287,497,277,558,3398,0,3398,4042,0,4042,2124,1593,531,0,0,0,5104,0,0,0,850,0,850,491,0,3059,0,3398,0,0,19732,0,19732,0,79792
1971:Q1,239296,88977,150319,239296,26723,5735,750,22010,63860,25638,38222,72198,458,307,562,3328,0,3328,4004,0,4004,2259,1694,565,0,0,0,4880,0,0,0,892,0,892,500,0,4197,0,1924,0,0,24709,18661,6048,0,80941
1971:Q2,241212,86677,154535,241212,22929,7130,800,21890,64918,27929,36989,71042,277,332,566,3220,0,3220,3722,0,3722,2001,1501,500,0,0,0,4426,0,0,0,637,0,637,541,0,3424,0,1477,0,0,31880,22758,9122,0,82809
1971:Q3,249957,88644,161313,249957,24528,6211,860,21848,66662,29584,37078,68370,277,401,567,3180,0,3180,3751,0,3751,2044,1533,511,0,0,0,4371,0,0,0,457,0,457,590,0,2145,0,1884,0,0,41811,29772,12039,0,83643
1971:Q4,261392,97505,163887,261392,19672,9057,900,22587,68996,30156,38840,74124,263,438,564,3183,0,3183,3828,0,3828,2125,1594,531,0,0,0,3896,0,0,0,559,0,559,622,0,2493,0,1799,0,0,46286,33025,13261,0,84899
1972:Q1,264601,102371,162230,264601,21572,7207,950,23279,68971,29676,39295,72140,466,399,554,3055,0,3055,3990,0,3990,2540,1905,635,0,0,0,3633,0,0,0,558,0,558,641,0,4160,0,1397,0,0,49089,34933,14156,0,85590
1972:Q2,257796,94648,163148,257796,19190,5200,1000,23584,70756,31258,39498,69280,369,368,533,2886,0,2886,3722,0,3722,2451,1838,613,0,0,0,3723,0,0,0,570,0,570,650,0,3228,0,1107,0,0,49179,31871,17308,0,88522
1972:Q3,261550,96363,165187,261550,19677,4828,1050,24150,68677,29660,39017,69176,478,508,517,2757,0,2757,3875,0,3875,2623,1967,656,0,0,0,3643,0,0,0,712,0,712,659,0,1957,0,1770,0,0,54493,32714,21779,0,89516
1972:Q4,272428,103870,168558,272428,19666,6881,1100,24896,69808,29664,40144,75648,480,643,518,2901,0,2901,3827,0,3827,3381,2536,845,0,0,0,3597,0,0,0,689,0,689,676,0,1245,0,2012,0,0,54460,31845,22615,0,91055
