1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q2,-262,4280,0,27,0,4780,4780,0,0,0,0,0,-527,0,4542,6550,981,762,219,0,0,0,0,5569,5934,-366,-2008,0,-2008,0,0
1989:Q3,-250,-2790,0,20,0,-1009,-1009,0,0,0,0,0,-1801,0,-2541,-2126,-9217,-10579,1362,0,0,0,0,7092,-2202,9294,-415,0,-415,0,0
1989:Q4,-190,-10630,0,53,0,-9244,-9244,0,0,0,0,0,-1439,0,-10440,-6524,995,4095,-3100,0,0,0,0,-7519,15167,-22686,-3916,0,-3916,0,0
1990:Q1,-262,1766,0,-37,0,3123,3123,0,0,0,0,0,-1320,0,2028,2087,-7819,-9838,2019,0,0,0,0,9906,6019,3887,-59,0,-59,0,0
1990:Q2,-240,8240,0,-28,0,7625,7625,0,0,0,0,0,643,0,8480,9058,3654,550,3104,0,0,0,0,5404,7934,-2531,-578,0,-578,0,0
1990:Q3,-227,-335,0,-43,0,-4012,-4012,0,0,0,0,0,3720,0,-108,7979,16930,18858,-1928,0,0,0,0,-8951,13871,-22822,-8087,0,-8087,0,0
1990:Q4,-231,-8307,0,-53,0,-8810,-8810,0,0,0,0,0,556,0,-8076,-3567,8220,8551,-331,0,0,0,0,-11787,4318,-16105,-4509,0,-4509,0,0
1991:Q1,-222,-14146,0,1725,0,-16311,-16311,0,0,0,0,0,440,0,-13924,-10756,-5300,-6568,1268,0,0,0,0,-5456,618,-6074,-3168,0,-3168,0,0
1991:Q2,-256,-23861,0,780,0,-22432,-22432,0,0,0,0,0,-2209,0,-23606,-26720,-1083,-4050,2967,0,0,0,0,-25637,7473,-33110,3114,0,3114,0,0
1991:Q3,-273,-2930,0,2296,0,-10590,-10590,0,0,0,0,0,5364,0,-2657,-9111,6976,5774,1202,0,0,0,0,-16087,10526,-26613,6454,0,6454,0,0
1991:Q4,-305,16988,0,2587,0,7784,7784,0,0,0,0,0,6617,0,17293,9495,-8025,-9537,1512,0,0,0,0,17520,12917,4603,7798,0,7798,0,0
1992:Q1,-341,7356,0,3028,0,-1332,-1332,0,0,0,0,0,5660,0,7697,9839,916,-2793,3709,0,0,0,0,8923,15055,-6132,-2142,0,-2142,0,0
1992:Q2,-367,10549,0,-164,0,3756,3756,0,0,0,0,0,6957,0,10916,13179,11794,10607,1187,0,0,0,0,1385,-8660,10045,-2263,0,-2263,0,0
1992:Q3,-362,8164,0,228,0,1496,1496,0,0,0,0,0,6440,0,8526,5071,571,-3062,3633,0,0,0,0,4500,34936,-30436,3455,0,3455,0,0
1992:Q4,-325,12483,0,99,0,8394,8394,0,0,0,0,0,3990,0,12808,4989,4318,1156,3162,0,0,0,0,671,9266,-8596,7819,0,7819,0,0
1993:Q1,-390,-21361,0,2513,0,-20976,-21976,0,1000,0,0,0,-2898,0,-20971,-21683,4936,-3245,8181,0,0,0,0,-26619,6150,-32769,712,0,712,0,0
1993:Q2,-355,487,0,780,0,-2487,-3487,0,1000,0,0,0,2194,0,842,3588,7555,5326,2229,0,0,0,0,-3967,3807,-7774,-2746,0,-2746,0,0
1993:Q3,-304,27405,0,1243,0,16912,15912,0,1000,0,0,0,9250,0,27709,19084,8610,5470,3140,0,0,0,0,10474,14427,-3953,8625,0,8625,0,0
1993:Q4,-247,12836,0,2401,0,8366,7366,0,1000,0,0,0,2069,0,13083,15375,9660,9610,50,0,0,0,0,5715,19187,-13472,-2292,0,-2292,0,0
1994:Q1,-416,-2366,0,-3562,0,-7879,-8879,0,1000,0,0,0,9075,0,-1950,1698,12603,-88,12691,0,0,0,0,-10905,9752,-20657,-3648,0,-3648,0,0
1994:Q2,-359,-14118,0,-4751,0,-12388,-19388,0,7000,0,0,0,3021,0,-13759,-15557,2341,-1961,4302,0,0,0,0,-17898,15388,-33286,1798,0,1798,0,0
1994:Q3,-296,2689,0,-2835,0,5740,5240,0,500,0,0,0,-216,0,2985,10947,8386,1902,6484,0,0,0,0,2561,11497,-8936,-7962,0,-7962,0,0
