1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5155,5155,0,0,5155,517,0,0,85,50,2949,0,26,77,1446,9,5,0,0,0,-9,0,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,12972,12972,0,0,12972,1236,-56,0,1268,228,8000,0,4,416,932,100,120,332,0,0,392,0,0,ND,ND,ND,ND,ND,ND
1959:Q2,12884,12884,0,0,12884,-488,-48,0,1332,256,10560,0,-8,28,776,112,120,440,0,0,-196,0,0,ND,ND,ND,ND,ND,ND
1959:Q3,13696,13696,0,0,13696,-1260,-164,0,832,252,11124,0,-12,200,1276,124,140,812,0,0,372,0,0,ND,ND,ND,ND,ND,ND
1959:Q4,12588,12588,0,0,12588,-320,0,0,268,220,9052,0,-12,-112,1852,124,172,1052,0,0,292,0,0,ND,ND,ND,ND,ND,ND
1960:Q1,11872,11872,0,0,11872,1460,0,0,-492,188,6612,0,0,712,1612,136,212,1320,0,0,112,0,0,ND,ND,ND,ND,ND,ND
1960:Q2,10096,10096,0,0,10096,364,0,0,40,160,7424,0,4,-96,1188,152,256,920,0,0,-316,0,0,ND,ND,ND,ND,ND,ND
1960:Q3,11704,11704,0,0,11704,20,0,0,220,152,8924,0,8,-124,968,152,268,824,0,0,292,0,0,ND,ND,ND,ND,ND,ND
1960:Q4,11444,11444,0,0,11444,1204,0,0,348,164,7852,0,8,-88,1416,132,248,380,0,0,-220,0,0,ND,ND,ND,ND,ND,ND
1961:Q1,11124,11124,0,0,11124,2868,0,0,220,180,6548,0,12,560,924,120,240,-532,0,0,-16,0,0,ND,ND,ND,ND,ND,ND
1961:Q2,10612,10612,0,0,10612,264,0,0,184,192,9688,0,12,-268,908,112,244,-992,0,0,268,0,0,ND,ND,ND,ND,ND,ND
1961:Q3,13196,13196,0,0,13196,176,0,0,168,184,10384,0,20,356,304,108,236,336,0,0,924,0,0,ND,ND,ND,ND,ND,ND
1961:Q4,15664,15664,0,0,15664,608,0,0,280,148,10468,0,28,272,1452,120,212,1064,0,0,1012,0,0,ND,ND,ND,ND,ND,ND
1962:Q1,12072,12072,0,0,12072,3136,0,0,232,124,7496,0,40,204,196,128,188,600,0,0,-272,0,0,ND,ND,ND,ND,ND,ND
1962:Q2,13552,13552,0,0,13552,104,0,0,-120,100,12440,0,52,-156,564,140,176,-628,0,0,880,0,0,ND,ND,ND,ND,ND,ND
1962:Q3,15376,15376,0,0,15376,456,0,0,-52,80,13092,0,52,252,372,144,168,-92,0,0,904,0,0,ND,ND,ND,ND,ND,ND
1962:Q4,16120,16120,0,0,16120,1608,0,0,132,64,12428,0,44,276,1260,140,168,-20,0,0,20,0,0,ND,ND,ND,ND,ND,ND
