1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q2,10887459,7307955,977397,1609536,4721022,1933281,1912113,1357267,101018,955548,154195,146506,554846,471681,6160,77005,21168,26556,-5388,-428259,1004154,1432413,2074482,1636032,554830,1081202,438450,179928,258522,30923,333548,302625,10918382,-8301,-2982,64,11167,52
2002:Q3,10984040,7397135,1001720,1616722,4778693,1933197,1907764,1348884,102176,944611,154671,147426,558880,474866,6141,77873,25433,24839,594,-447547,1015560,1463107,2101255,1654189,562073,1092116,447066,186278,260788,43475,350941,307466,11027515,-8403,-2457,-501,11300,61
2002:Q4,11061434,7472958,986105,1641855,4844998,1942532,1909528,1331215,102563,936245,151818,140589,578313,491250,6397,80666,33004,30095,2909,-496289,1003046,1499335,2142233,1687762,586467,1101295,454471,188779,265692,59132,340756,281624,11120566,-8454,-2225,-749,11365,63
2003:Q1,11174128,7567160,974533,1682801,4909826,1960220,1934140,1332696,103039,942051,150939,136667,601444,510931,6608,83905,26080,21215,4865,-525262,1004201,1529463,2172010,1714899,602877,1112022,457111,189848,267263,43560,356735,313175,11217688,-8426,-2238,-769,11373,60
2003:Q2,11312766,7661458,1007819,1670079,4983560,1972386,1978874,1366842,105157,967597,155652,138436,612032,519770,6707,85555,-6488,-4790,-1698,-519871,1007465,1527336,2198793,1740502,631570,1108932,458291,194401,263890,56365,367928,311563,11369131,-8442,-1697,-1320,11394,65
2003:Q3,11566669,7820927,1041776,1724471,5054680,2044305,2043866,1392121,107371,985277,152947,146526,651745,554187,7166,90392,439,-241,680,-518994,1037310,1556304,2220431,1751361,636707,1114654,469070,196549,272521,54503,379042,324539,11621172,-8471,-2152,-901,11434,90
2003:Q4,11772234,7913453,1047074,1741838,5124541,2131311,2094966,1411859,109175,997809,153476,151399,683107,582640,7345,93122,36345,33953,2392,-523694,1091682,1615376,2251164,1778750,655270,1123480,472414,199855,272559,79558,405917,326359,11851792,-8514,-2671,-385,11492,78
2004:Q1,11923447,8048777,1064229,1779005,5205543,2154052,2108027,1401830,108510,986898,152872,153550,706197,604164,7427,94606,46025,37895,8130,-565975,1133669,1699644,2286593,1812272,670723,1141549,474321,201077,273244,98007,439894,341887,12021454,-8934,-2266,-432,11614,18
2004:Q2,12112814,8147108,1065972,1803007,5278129,2262606,2188617,1445457,110410,1015463,156127,163457,743160,637733,7687,97740,73989,52820,21169,-617582,1170152,1787734,2320682,1837411,678328,1159083,483271,206233,277038,72795,454427,381632,12185609,-8889,-1931,-752,11555,17
2004:Q3,12305308,8283335,1085046,1826293,5371996,2318273,2254106,1490495,111382,1048005,161755,169353,763611,656576,7753,99282,64167,51736,12431,-652671,1180185,1832856,2356371,1866277,690508,1175769,490094,212001,278093,81612,471079,389467,12386920,-8703,-2089,-563,11314,41
2004:Q4,12527213,8448621,1107050,1877483,5464088,2390081,2317992,1531693,112346,1082294,165445,171608,786299,676634,7943,101722,72089,60974,11115,-700336,1221444,1921780,2388847,1891719,695257,1196462,497128,214365,282763,54439,493385,438946,12581652,-8382,-1761,-785,10897,31
2005:Q1,12767286,8551735,1109964,1891983,5549788,2486068,2383591,1568306,112076,1114321,173546,168363,815285,702197,8216,104872,102477,96097,6380,-696655,1258408,1955063,2426138,1924577,715447,1209130,501561,216379,285182,87078,538791,451713,12854364,-9361,-130,-904,10309,86
2005:Q2,12922655,8701145,1137918,1919495,5643732,2476474,2447639,1603838,112500,1144992,176698,169648,843801,727686,8378,107737,28835,25054,3781,-707210,1294853,2002063,2452246,1942015,718788,1223227,510231,220491,289740,74342,549745,475403,12996997,-9041,131,-1120,9956,74
2005:Q3,13142644,8868089,1151814,1986030,5730245,2531077,2518723,1643130,114916,1176671,181204,170339,875593,756057,8573,110963,12354,7952,4402,-750960,1302315,2053275,2494438,1977107,731610,1245497,517331,224783,292548,83026,576552,493526,13225670,-8927,3129,-4124,9831,91
2005:Q4,13324203,8955295,1114745,2019741,5820809,2645263,2558875,1668669,115891,1195953,188117,168708,890206,769316,8686,112204,86388,75397,10991,-804786,1350743,2155529,2528431,2004410,737250,1267160,524021,226399,297622,54754,611986,557232,13378957,-9016,6,-1012,9928,94
2006:Q1,13599161,9100153,1154128,2042714,5903311,2709740,2631526,1735308,120370,1244394,198118,172426,896218,775467,8840,111911,78214,67139,11075,-790818,1413966,2204784,2580086,2040401,764861,1275540,539685,232206,307479,55791,642899,587108,13654952,-9554,447,-1445,10552,0
2006:Q2,13753425,9227649,1149249,2076844,6001556,2709252,2633739,1774400,124032,1273807,205276,171285,859339,743010,8612,107717,75513,73029,2484,-794042,1459767,2253809,2610566,2058753,761129,1297624,551813,236035,315778,49453,695405,645952,13802878,-9795,541,-1569,10818,5
2006:Q3,13870187,9353772,1160532,2112905,6080335,2709420,2630665,1815947,126691,1303241,209959,176056,814718,702636,8333,103749,78755,74671,4084,-823285,1475417,2298702,2630280,2080203,762066,1318137,550077,233381,316696,36458,721634,685176,13906645,-10278,1390,-2480,11351,17
2006:Q4,14039560,9427368,1169422,2092827,6165119,2675406,2631930,1849549,129013,1323932,212642,183962,782381,671854,8210,102317,43476,41282,2194,-737667,1531531,2269198,2674453,2112456,774134,1338322,561997,240944,321053,44137,750546,706409,14083697,-11002,50645,-51480,12151,-314
2007:Q1,14215651,9572138,1179022,2129103,6264013,2664295,2642923,1892034,131119,1349869,216963,194083,750889,640658,8111,102120,21372,13551,7821,-739273,1577991,2317264,2718491,2144207,776095,1368112,574284,241450,332834,42942,778325,735383,14258593,-10675,-409,-2145,13217,12
2007:Q2,14402082,9678713,1185692,2166108,6326913,2699216,2656992,1937718,133767,1377259,230093,196599,719274,609805,8106,101363,42224,40470,1754,-745805,1622764,2368569,2769958,2180314,791806,1388508,589644,250647,338997,61194,843000,781806,14463276,-11232,427,-5077,13907,1975
2007:Q3,14564118,9798383,1191859,2188151,6418373,2685971,2641048,1967377,138127,1398517,230724,200009,673671,567138,7969,98564,44923,41172,3751,-728954,1685710,2414664,2808718,2212744,806953,1405791,595974,251885,344089,117634,884689,767055,14681752,-11485,-2022,-723,14220,10
2007:Q4,14715058,9937140,1195599,2232589,6508952,2642561,2615279,1997123,142941,1427683,224854,201645,618156,516527,7658,93971,27282,24010,3272,-729699,1750714,2480413,2865056,2256863,829096,1427767,608193,256166,352027,160886,894723,733837,14875944,-11435,2662,-5389,14158,4
2008:Q1,14706539,10004445,1153509,2252859,6598077,2563701,2580374,2013699,146315,1441068,231918,194398,566675,469970,7312,89393,-16673,-9054,-7619,-771247,1813321,2584568,2909640,2297995,852080,1445915,611645,259104,352541,150803,910175,759372,14857342,-11151,8076,-10644,13719,0
2008:Q2,14865702,10129869,1137729,2305804,6686336,2540595,2562847,2024039,150460,1456713,229188,187678,538808,444512,7210,87086,-22252,-22517,265,-776404,1905282,2681686,2971642,2344055,875429,1468626,627587,271211,356376,157509,899356,741847,15023211,-10865,19318,-21834,13367,14
2008:Q3,14898999,10159078,1095819,2332088,6731171,2498242,2514067,2007007,153602,1441288,230841,181276,507060,416394,6911,83755,-15825,-16992,1167,-787354,1922215,2709569,3029033,2391292,893869,1497423,637741,276369,361372,176731,869155,692424,15075730,-10648,7353,-9818,13101,12
2008:Q4,14608207,9906942,1007986,2167091,6731865,2307914,2370129,1918738,153090,1367399,237621,160628,451391,369658,6053,75680,-62215,-54649,-7566,-628475,1700304,2328779,3021826,2380419,899707,1480712,641407,280073,361334,95814,742207,646393,14704021,-10502,36856,-39277,12921,2
2009:Q1,14430902,9814969,1004480,2115547,6694942,2014878,2165874,1761401,150948,1253395,212032,145026,404473,329785,5554,69134,-150996,-131603,-19393,-420993,1511768,1932761,3022048,2382000,908724,1473276,640048,276507,363541,120682,667668,546986,14551584,-10536,25475,-27760,12827,-6
