1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,393562,1220,39393,5311,0,1259,19033,8432,6065,1486,3050,0,14725,1430,13295,3284,24169,81139,29,688,189675,13637,10546,0,0,3091,1434763,884664,163008,6895,0,156113,189143,97671,33717,57755,2147,146363,10054,373949,1560,68001,304388,550099,541846,8253,91073,294700,30.903675642829736,39.2680279411946
1970:Q3,397612,1141,40512,5325,0,63,18488,8433,6966,1164,1925,0,15299,1620,13679,3346,28916,82711,30,662,192568,8551,10761,0,0,-2210,1530409,888115,168834,7361,0,161473,188953,99467,30461,59025,2220,148279,10159,369670,1730,63394,304546,642294,633751,8543,95107,295727,32.16045678299672,38.371578707995056
1970:Q4,410506,798,44059,5347,0,234,19056,9389,6283,1209,2175,0,16624,1962,14662,3523,32658,87083,31,645,191389,9059,11016,0,0,-1957,1610059,898789,174363,7133,0,167230,191008,102658,28035,60314,2286,153602,9996,367534,1858,60907,304769,711270,702482,8788,102797,301425,34.10372792866041,37.72234878334053
1971:Q1,416890,1082,39955,7544,0,1318,19163,9954,5735,1049,2425,0,17822,2154,15668,3468,35609,85682,32,645,193247,11323,11260,0,0,62,1685591,901841,181120,8333,0,172787,191040,100885,28661,61494,2327,151671,11698,363985,2004,57104,304877,783750,774797,8953,105316,301248,34.95987213828794,37.048328544938386
1971:Q2,425526,1102,40676,8824,0,6,20525,9791,7130,929,2675,0,18605,2425,16180,3556,35451,87863,33,659,196592,11634,11494,0,0,139,1702572,914838,185270,6856,20,178394,196659,103924,30091,62645,2359,153719,10799,366032,2029,59384,304619,787734,778662,9072,107243,305389,35.116881780467125,36.883976156433484
1971:Q3,437369,1239,40734,9265,0,1063,20548,10510,6211,902,2925,0,19148,2735,16413,3641,35026,90017,34,677,201971,14006,11757,0,0,2249,1700879,926451,189398,7434,53,181911,199256,105865,29810,63581,2292,156998,12131,366376,2097,59521,304758,774428,765605,8823,108552,312238,34.76582154321213,36.821613866454896
1971:Q4,459918,1234,42581,9509,0,1077,24418,11275,9057,911,3175,0,20394,3080,17314,3873,36422,95705,36,690,203801,20178,12091,0,0,8087,1776049,943137,192699,6247,86,186366,202548,107678,29248,65623,2307,167228,13086,365269,2199,57842,305228,832912,824038,8874,115931,323486,35.83797940749199,36.22353158468992
1972:Q1,472309,1421,40251,11740,0,2565,23843,12388,7207,823,3425,0,19485,3438,16047,3755,37700,92802,36,701,210218,27792,12502,0,0,15290,1831097,950177,196912,7538,126,189248,208001,108691,30562,68748,2260,166069,14398,362537,2350,54797,305390,880920,872231,8689,118221,327258,36.12473233986683,36.25240161742818
1972:Q2,482690,1626,40246,12324,0,3111,22902,13219,5200,808,3675,0,20440,3835,16605,3817,37135,94309,37,711,215549,30483,12994,0,0,17489,1847153,963080,201580,8126,293,193161,214020,112809,30838,70373,2309,168842,12257,364072,2426,55806,305840,884073,875195,8878,118055,332872,35.46562593326804,36.51894168306322
1972:Q3,495003,1820,43158,10941,0,2103,23241,13513,4828,975,3925,0,21229,4272,16957,3894,37755,96238,37,721,222993,30873,13506,0,0,17366,1881757,978875,204465,7761,466,196238,217403,114580,30460,72363,2386,177323,13824,363474,2537,55045,305892,902882,893709,9173,119739,343948,34.813069344552744,36.22015801744223
1972:Q4,552552,2172,44938,11890,0,2688,26327,14235,6881,1036,4175,0,22896,4898,17998,4685,39717,115780,41,732,230207,50479,13977,0,0,36502,2046819,1004390,206450,6968,634,198848,230383,121936,33116,75331,2465,190373,15521,359198,2722,50436,306040,1042429,1032948,9481,128464,367914,34.9168474628212,37.08973976820131
1973:Q1,570701,2722,41062,15583,0,6514,24727,13258,5947,1097,4425,0,22376,5350,17026,4067,41532,100509,42,743,240370,70454,14459,0,0,55995,2010123,1029102,207245,5871,955,200419,243384,130435,35284,77665,2659,191868,17634,366312,2695,56411,307206,981021,970789,10232,132883,381091,34.86906856535843,38.07777861762831
1973:Q2,589568,3005,41060,17879,0,6345,24502,13437,4759,1256,5050,0,24162,6183,17979,4173,42579,103102,45,754,251373,70589,14952,0,0,55637,1980190,1065220,211128,6032,1490,203606,257992,136506,37122,84365,2895,203022,15760,374423,2634,63976,307813,914970,903834,11136,136124,398442,34.164090942058444,38.29715457538694
1973:Q3,607559,2729,42702,17271,0,9501,21890,13633,1923,1659,4675,0,25120,7038,18082,4243,48182,104878,49,765,264071,66158,15456,0,0,50703,2053875,1088643,214618,6335,1979,206304,271586,137202,39100,95284,2992,211491,17565,370391,2826,58613,308952,965232,953723,11509,143040,411694,34.74427920818724,37.56397817571312
1973:Q4,643759,3329,46315,16623,0,11262,23431,14876,2482,2035,4038,0,26604,7448,19156,4679,46857,115623,51,775,269317,78893,15970,0,0,62923,1960539,1139397,219254,8382,2430,208442,287062,140013,40752,106296,3011,228428,19305,382337,2697,69669,309971,821142,809566,11576,148592,436881,34.012038619638304,37.35761440220536
1974:Q1,657112,3729,42253,18791,0,12472,24079,16212,968,2330,4569,0,25943,7808,18135,4636,52182,114556,52,785,281929,75705,16497,0,0,59208,1955742,1158376,224325,9235,2841,212249,295847,144446,43064,108337,3383,228286,22325,384210,2791,70365,311054,797366,784355,13011,154291,447356,34.4895162507295,37.823126262580864
1974:Q2,671703,3529,42598,19179,0,10046,23788,15131,1492,2607,4558,0,27186,7854,19332,4707,54194,116340,56,794,297374,71912,17038,0,0,54873,1934525,1197682,230873,9967,3265,217641,309818,155996,44885,108937,3489,238995,21308,393199,2718,79535,310946,736843,723428,13415,154128,471151,32.713081807852916,38.996029822135824
1974:Q3,689249,3129,45449,19045,0,8630,26587,16933,1981,3080,4593,0,27745,8027,19718,4870,44800,120347,60,804,305285,82498,17588,0,0,64910,1797607,1242433,237971,12569,3596,221806,312847,160249,46427,106172,3814,248794,25444,413563,2459,98008,313096,555174,540503,14671,148444,493483,30.080875593251278,39.80348925414182
1974:Q4,687712,4946,47772,20464,0,5485,26740,16520,2613,2953,4654,0,28324,8048,20276,4987,53476,123237,65,816,245519,125881,18143,0,0,107738,1740855,1167885,244828,12513,4078,228237,320394,164975,50091,105327,3981,165205,24516,408961,2670,92772,313519,572970,557656,15314,159699,417301,38.26953666911933,40.263760064923844
1975:Q1,811004,2170,52231,19761,0,1453,22971,6255,6488,3999,6229,0,34514,15588,18926,5135,62821,126873,67,832,262584,219592,18694,500,0,200397,2125899,1425500,255988,14009,4508,237471,312367,156193,50686,105487,4005,153059,22901,677180,3035,81631,592514,700399,684995,15404,162239,396848,40.8818548591374,38.86452886043305
1975:Q2,827262,1739,54311,21958,0,794,25659,6685,8123,3555,7296,0,34461,14758,19703,5287,69226,130649,71,851,269070,213186,19255,1000,0,192932,2231361,1423647,262522,11658,5319,245545,310171,152390,51207,106575,4164,153416,18582,674792,3436,67151,604205,807714,791700,16014,174538,387252,45.07087977904488,37.586324976653565
1975:Q3,828174,1760,53584,24292,0,813,25362,7267,9192,3484,5419,0,33811,13728,20083,5331,58781,131735,75,871,285011,206748,19829,1500,0,185419,2169337,1451569,266725,11780,5920,249025,306528,146912,51417,108200,4161,163619,20917,689619,3431,72707,613481,717768,701766,16002,165463,394644,41.927137834090935,36.65190510521526
1975:Q4,837362,2622,58272,24130,0,1189,30745,8371,14264,3264,4846,0,34256,13044,21212,5484,60832,135561,84,890,271441,211856,20433,2000,0,189424,2229282,1457329,270946,9616,6678,254652,309037,146873,52700,109465,4434,176372,22292,674248,3665,66093,604490,771953,754897,17056,178680,407852,43.80998380516639,36.06797316587494
1976:Q1,871935,3182,58428,24945,0,3107,35755,9324,19259,3088,4084,0,33220,12914,20306,5626,68056,139041,89,912,290075,209499,21210,2250,0,186039,2361521,1475110,278936,10926,6985,261025,303887,138832,55715,109340,4714,167962,25583,694028,3965,57300,632763,886411,868276,18135,194385,399018,48.71583964571495,35.25477357937966
1976:Q2,902250,3298,59066,26347,0,1329,36008,9073,20432,3029,3474,0,34104,12785,21319,5700,67776,140857,93,942,305080,221650,22081,2500,0,197069,2410845,1504258,285306,11818,7487,266001,310665,140841,58008,111816,4897,176210,22915,704265,3984,61282,638999,906587,887750,18837,194766,409792,47.52800779535784,35.34852942011559
1976:Q3,922732,2709,58507,25462,0,1961,35022,9486,18534,3018,3984,0,34442,12658,21784,5812,67108,143610,95,964,317988,229052,22998,2750,0,203304,2457496,1540646,290926,10889,8360,271677,313259,139509,59147,114602,5063,182625,26002,722771,4032,65342,653397,916850,897381,19469,191733,418173,45.85017531990804,34.68240789030547
1976:Q4,985389,3439,62967,28783,0,1459,39154,10511,21547,2868,4228,0,36031,12531,23500,8244,67205,203740,102,964,302449,230852,23912,3000,0,203941,2521446,1559905,297550,11049,9163,277338,322692,141923,63866,116902,8872,195180,27790,707821,4130,67287,636404,961541,927412,34129,203971,439809,46.37721864285001,34.960326395531965
1977:Q1,1002796,3897,58578,27955,31,1701,39768,10494,22381,2789,4104,0,34396,13176,21220,8303,64801,205216,107,941,325485,231617,24948,3250,0,203419,2492720,1600867,306725,12083,11928,282714,329223,143995,67140,118088,9034,196568,29197,730120,4140,73904,652076,891853,857111,34742,197672,448983,44.026619159246124,35.10000916764173
1977:Q2,1023066,4744,60714,29290,74,1848,34028,9442,17508,2682,4396,0,35962,13829,22133,8437,69475,208534,111,895,338436,230518,26041,3500,0,200976,2540203,1622733,313376,12914,14079,286383,341281,149397,70964,120920,9202,204530,23478,730866,4284,72452,654130,917470,882073,35397,201068,461283,43.588826395431376,35.633222794770255
1977:Q3,1051025,4914,60460,29897,130,2167,33482,8984,17055,2375,5068,0,37056,14491,22565,8520,69931,210540,113,841,355283,237691,27201,3750,0,206740,2547895,1666491,321380,13175,15713,292492,346879,150423,71302,125154,9385,210061,26812,751974,4348,76136,671490,881404,845309,36095,201822,471773,42.77948515968598,35.15101373143067
1977:Q4,1097430,5686,66717,35456,200,2115,32988,9390,16556,2672,4370,0,39516,15155,24361,11302,72035,224410,121,790,346406,259688,28435,4000,0,227253,2572682,1713628,330331,12808,17377,300146,364205,155505,77648,131052,10368,227047,29134,752543,4459,75968,672116,859054,819176,39878,215987,502142,43.01309736027469,35.41376667832623
1978:Q1,1125539,7097,59929,35080,255,2376,31857,10332,14993,2897,3635,0,38680,15605,23075,11458,67468,228662,128,738,366132,275679,29775,4500,0,241404,2580499,1765757,336927,13719,18702,304506,376303,163617,78546,134140,10622,229719,32136,780050,4551,78533,696966,814742,773891,40851,204800,517737,39.556783916802765,35.876457738256796
1978:Q2,1150290,7450,62348,35386,268,2272,31087,9330,13970,3358,4429,0,39764,16057,23707,11594,72135,231986,132,667,389338,265863,31223,4775,0,229864,2670644,1794933,346165,14419,20838,310908,390920,170004,82257,138659,11049,241512,27075,778212,4845,69221,704146,875711,833210,42501,211613,535266,39.53416231537293,36.18026444369068
1978:Q3,1187628,6457,63256,34266,349,2038,29508,9061,12692,2779,4976,0,40817,16502,24315,11349,77307,233865,137,615,415102,272562,32705,5050,0,234806,2767475,1827269,354093,14992,23017,316084,394491,169128,83421,141942,11542,247814,30596,788733,5214,57630,725889,940206,895811,44395,213796,545951,39.16029904774915,35.7395989877841
1978:Q4,1254917,8317,73015,38182,610,2509,31966,9512,15070,2773,4611,0,43474,16976,26498,13023,72345,259898,143,618,407281,303536,34148,5325,0,264063,2803257,1897003,361647,15499,25041,321107,407961,174642,89550,143770,12979,271823,34055,808538,5270,61723,741545,906254,856335,49919,227562,585568,38.861730815820714,36.341904844099
1979:Q1,1299165,12524,70571,36026,1028,3434,31664,8896,14519,3364,4885,0,42864,17772,25092,13463,76954,265044,149,680,438034,306730,35585,5600,0,265545,2920495,1958791,370486,17665,27366,325455,422267,181089,93963,147215,13211,275152,38940,838735,5571,56448,776716,961704,910897,50807,232881,606809,38.37796625652627,36.92411827851412
1979:Q2,1331792,11273,68771,33981,1581,2949,34343,8604,17689,3430,4620,0,44358,18576,25782,13984,78445,271605,160,800,459209,310333,37043,5875,0,267415,2977804,2003749,381010,20564,29681,330765,437653,191031,99016,147606,13756,289137,34071,848122,5772,52580,789770,974055,921144,52911,232143,633819,36.62606517455721,37.941265788504595
1979:Q3,1395288,9777,68762,37659,2246,2685,28160,7732,13855,2570,4003,0,45939,19389,26550,14725,83852,277424,166,939,490540,332414,38469,6150,0,287796,3105537,2069338,390698,23828,32325,334545,447273,199241,99700,148332,14309,305384,38687,872987,6095,42354,824538,1036199,981163,55036,234080,666840,35.10289484924672,38.51787019543026
1979:Q4,1459757,10080,79073,40414,3000,3116,29316,9586,13472,1800,4458,0,48500,20202,28298,16695,83307,306867,176,1060,479655,358498,39810,6425,0,312263,3214646,2136787,397935,24518,35028,338389,457048,205212,105883,145952,16399,327378,40986,897041,6196,43234,847611,1077859,1014783,63076,249366,703977,35.42244310330587,39.25383036668351
1980:Q1,1484390,9174,76665,38748,3757,2334,34124,10176,14300,1933,7715,0,47228,22314,24914,17655,80503,311833,192,1177,511553,349447,41113,6700,0,301635,3243600,2221765,412546,31052,37147,344347,466000,212470,109698,143831,16881,328407,46024,951907,6240,56611,889056,1021835,956911,64924,246482,727651,33.87363713085351,40.205125094011834
1980:Q2,1499110,8564,78363,36770,4432,3023,29518,9757,9914,1969,7878,0,50187,24427,25760,18631,91998,313827,201,1304,510604,351688,42341,6975,0,302372,3387185,2241852,431934,36334,40024,355576,452178,201304,112178,138697,17867,321601,39592,978680,6761,51787,920132,1145333,1076609,68724,253972,711008,35.71997724861461,39.56684244832845
1980:Q3,1581818,8670,78961,37399,5389,3443,31966,9264,13704,1679,7319,0,53453,26565,26888,19736,103136,316504,206,1421,530436,391098,43500,7250,0,340348,3596875,2311512,437794,32189,42743,362862,457795,212205,109772,135818,18554,328719,42354,1026296,7241,48684,970371,1285363,1214006,71357,270385,725239,37.282201041141285,39.54558753773547
1980:Q4,1659264,9696,78660,45022,6993,3887,34396,9132,13697,2205,9362,0,58102,28701,29401,22308,113879,353802,220,1507,529353,401439,44592,7525,0,349323,3806235,2371294,439987,28026,45892,366069,482681,232227,114209,136245,22988,356520,43864,1025254,7566,52266,965422,1434941,1346523,88418,294040,774846,37.94818077773822,40.58469737912032
1981:Q1,1780236,9384,73026,51034,9437,3459,28656,8799,12593,2243,5021,0,58548,30790,27758,23286,115801,355334,230,1541,572031,478469,45644,7800,0,425025,3961954,2520193,452914,31837,48925,372152,487054,230238,119793,137022,23596,374568,46958,1135103,7697,57201,1070205,1441761,1351007,90754,292338,803394,36.387863589127946,40.625679915033956
1981:Q2,1806239,9411,68773,50593,12915,2925,32498,8163,17272,3864,3199,0,61678,32903,28775,24193,113383,359895,244,1504,588802,479425,46635,8075,0,424714,3978566,2568691,470467,37819,52894,379754,509685,240650,126043,142992,24441,381680,41488,1140930,7753,66851,1066326,1409875,1315862,94013,292002,827680,35.279557912527956,41.27036135012742
1981:Q3,1828038,10495,64426,49315,16288,1514,36467,8021,19985,4475,3986,0,63963,35040,28923,26000,101866,359587,257,1498,603446,492916,47556,8350,0,437010,3891623,2658081,484375,44081,56029,384265,532672,253893,130389,148391,25323,378052,44008,1193651,7600,87724,1098327,1233542,1136139,97403,281869,850422,33.14460117815962,42.118202486795774
1981:Q4,1863025,12386,57674,54971,18416,1784,43236,8199,18652,5779,10606,0,67498,37176,30322,28894,109002,369351,271,1624,574123,523795,48396,8625,0,466774,4026495,2685822,492918,42722,59323,390873,548772,264405,141066,143301,29910,383423,39864,1190935,7953,82353,1100629,1340673,1225637,115036,299093,871480,34.320124214201925,43.02555939613491
1982:Q1,1880729,10066,53891,54405,19547,1820,36605,7908,16030,3809,8858,0,65797,37772,28025,30120,100296,197927,288,1882,580813,727272,49168,8900,0,669204,3911694,2748767,511578,49836,62963,398779,561100,277275,141959,141865,31800,372047,39220,1233022,8215,81198,1143609,1162927,1090438,72489,278512,880338,31.63694568982333,43.72896634580834
1982:Q2,1886710,11310,53690,50577,19930,2452,31586,8236,12805,3837,6708,0,67276,38374,28902,29497,98889,202781,288,2265,587005,729164,49783,9175,0,670207,3919423,2772433,521903,51741,66287,403875,580763,298004,144419,138341,32933,374910,33080,1228844,8534,78264,1142046,1146990,1073656,73334,270699,902153,30.005874318094705,44.81530490044866
1982:Q3,1939451,8268,54252,58000,19711,3305,33659,7731,15150,2506,8272,0,68155,38984,29171,27633,109408,206557,292,2689,598450,749072,50408,9450,0,689213,4046202,2798293,532166,49726,70589,411851,591189,314086,145584,131519,33494,377195,34754,1229495,9410,49748,1170337,1247909,1172793,75116,289292,921345,31.39887447789459,45.34595649681889
1982:Q4,1977689,10063,68019,63573,19031,2435,44459,7948,21011,3322,12178,0,70381,39594,30787,31897,128675,210743,302,3070,569115,755926,51213,9725,0,694987,4267846,2794806,533603,37614,74466,421523,599456,324269,145927,129260,27257,394163,35585,1204742,9871,39185,1155686,1473040,1386479,86561,339325,937559,36.1924072867616,44.817643973657994
1983:Q1,2022508,11580,61905,63337,17526,3278,49745,8071,24404,2830,14440,0,68911,40022,28889,28776,141890,215580,303,3409,581521,774747,52012,10000,0,712735,4430370,2809183,545830,41187,76920,427723,617970,326586,145888,145496,26800,376759,41447,1200377,10730,21446,1168201,1621187,1533804,87383,352670,931867,37.84550928183569,44.13657187758199
1983:Q2,2087761,11545,68535,67829,14825,3899,56051,9343,26870,3753,16085,0,71201,40456,30745,27745,158078,220261,304,3707,602729,781052,52823,10275,0,717954,4648267,2822980,557500,38849,79803,438848,630082,326236,153678,150168,28549,380096,37404,1189349,11738,-1955,1179566,1825287,1736716,88571,384469,936263,41.06421112858204,43.68227571287197
1983:Q3,2120339,13176,73516,66597,12259,3847,51430,9943,24105,3141,14241,0,72761,40895,31866,27674,158269,225710,307,4044,630051,780698,53717,10550,0,716430,4683563,2884628,565894,40547,81876,443471,645343,332084,158128,155131,30398,376903,41038,1225052,11868,15610,1197574,1798935,1709522,89413,383138,948700,40.3855896111694,43.81958137880204
1983:Q4,2187462,14393,89573,69974,11153,3248,64787,12188,30144,4187,18268,0,76700,41335,35365,26988,159277,262731,311,4501,626517,777309,54756,10825,0,711728,4678125,2944675,568188,36775,83897,447516,682020,353041,168609,160370,29770,401994,38646,1224057,12011,33417,1178629,1733450,1630514,102936,416906,999065,41.72960088998231,44.66658374307712
1984:Q1,2264552,15541,102485,67460,11509,4127,76853,12632,38101,2548,23572,0,77354,44278,33076,25313,156938,268766,312,5034,662415,790445,55868,11100,0,723477,4742661,3109428,584561,42518,85897,456146,710826,368704,178987,163135,30089,410679,43234,1330039,11629,87897,1230513,1633233,1527807,105426,439947,1044122,42.13561251906445,45.56234213047081
1984:Q2,2347120,16503,97238,65810,13318,5917,74845,11246,37282,3291,23026,0,81788,47222,34566,23535,154115,275475,314,5604,693100,839558,57194,11375,0,770989,4817405,3251877,606582,53463,88116,465003,748924,388805,190168,169951,34059,429080,39561,1393671,11259,129021,1253391,1565528,1456011,109517,433350,1101077,39.35690813988176,46.656832731989596
1984:Q3,2438744,12418,96723,61132,15272,3928,69308,11189,33740,3715,20664,0,85177,50197,34980,22369,170467,280585,317,6295,717799,896954,58571,11650,0,826734,4973183,3318219,630042,60349,90480,479213,764807,391682,198699,174426,34848,428203,40087,1420232,12189,108145,1299898,1654964,1543237,111727,435543,1119020,38.92183297412202,46.65234967608674
1984:Q4,2446003,13284,102698,69124,16062,3919,74011,9742,36467,5319,22483,0,91521,53143,38378,24401,175013,263661,314,7193,694120,910682,59893,11925,0,838864,4994327,3328654,660216,58490,104439,497287,802882,412301,214839,175742,35874,436676,42167,1350839,12913,95776,1242150,1665673,1553653,112020,461304,1164473,39.614826020028545,46.861537595602925
1985:Q1,2510357,12568,90366,73050,15820,8081,62817,10202,30156,4183,18276,0,90071,54565,35506,23485,187569,267804,318,8651,724675,945082,61120,12223,0,871738,5212552,3425515,685075,62972,106139,515964,806549,423221,218787,164542,37203,433874,42555,1420259,13761,87247,1319251,1787037,1671498,115539,458922,1181409,38.84532004158141,47.26255161369613
1985:Q2,2557301,11895,96506,66808,14675,4225,82688,9798,42730,3502,26658,0,93112,56021,37091,20429,197608,274917,311,10112,736169,947846,62582,14237,0,871027,5346949,3484736,717806,68886,110639,538281,815047,425627,222247,167173,38896,437622,38470,1436895,14718,74268,1347909,1862213,1744053,118160,484517,1192852,40.61837239792433,46.759855855318776
1985:Q3,2605016,12514,107016,68688,14413,4794,70885,9326,35913,3533,22113,0,95597,57497,38100,21043,186046,277439,303,10393,746326,989559,63671,13999,0,911889,5366742,3603519,742619,69036,116039,557544,821712,434910,223552,163249,39870,434607,41296,1523415,14545,113637,1395233,1763223,1642361,120862,474749,1203401,39.45059822621296,46.50540566632872
1985:Q4,2807935,16023,125714,69301,14516,3374,81169,10478,41102,4017,25572,0,102580,60075,42505,20675,214143,370692,296,10799,739342,1039311,64155,16657,0,958499,5655243,3589890,780402,72207,127039,581156,864685,454562,238234,171889,40132,479653,39009,1386009,18707,-23995,1391297,2065353,1917631,147722,535039,1283665,41.680584716343745,46.502271178274405
1986:Q1,2812249,17734,115339,74757,16069,3349,69882,11646,33539,4167,20530,0,98623,58505,40118,24088,247091,374288,280,12589,724905,1033255,68584,14908,0,949763,5845621,3550572,810766,69514,124039,617213,878671,461150,244321,173199,41811,444559,40329,1334436,18707,-64626,1380355,2295049,2137668,157381,556810,1259874,44.19570436687745,45.872427798510095
1986:Q2,2852467,18854,112387,80427,16952,2900,80815,10268,40715,4518,25314,0,98555,56955,41600,23470,264642,380217,284,13947,739512,1019505,72687,19259,0,927559,6003464,3595514,846331,68654,120767,656910,902550,470500,254864,177185,43400,439233,39574,1324426,18707,-56677,1362396,2407950,2245424,162526,590924,1272826,46.426157868560495,45.40152921018054
1986:Q3,2927218,18104,103940,92218,18216,3742,78234,9378,38961,5750,24145,0,97793,55278,42515,23498,248845,384997,270,14709,759201,1083451,77366,18493,0,987592,5954127,3752619,878036,72779,119531,685726,917434,472674,263030,181730,44548,445482,41274,1425845,18712,1994,1405139,2201508,2032679,168829,578008,1295239,44.625589131184924,45.02905285541968
1986:Q4,3087838,19201,123998,85530,18117,5073,77913,10173,40325,2360,25055,0,100233,53216,47017,24955,265538,492660,256,15676,741486,1117202,83082,18726,0,1015394,6255749,3819053,892043,62865,117138,712040,982938,520589,274200,188149,49532,477971,42784,1373785,18742,9988,1345055,2436696,2241896,194800,611046,1378409,44.32980856674699,45.74200417927399
1987:Q1,3188271,16826,124940,81118,18826,5556,75671,12384,37705,2274,23308,0,98104,53681,44423,26134,321289,497641,239,16057,772240,1133630,87788,19050,0,1026793,6711263,3799110,918406,63593,117349,737464,1002056,505739,278169,218149,55308,477734,43947,1301659,19042,-86034,1368651,2912153,2709357,202796,660283,1369181,48.22465877363361,44.130011108251196
1987:Q2,3239700,15896,129056,81792,18518,5532,69549,13815,32734,3006,19994,0,100580,54009,46571,26169,336338,505161,232,15039,788985,1146853,94771,14500,0,1037582,6836390,3840577,941146,67916,116146,757084,1028256,509974,289192,229090,57155,473369,46928,1293723,19492,-97887,1372118,2995813,2784821,210992,671720,1387379,48.41648727775709,44.02766486248954
1987:Q3,3306682,15081,129178,80483,18611,5601,70878,16886,31671,3036,19285,0,102614,54539,48075,26352,357654,512466,221,14628,811164,1161751,101819,13750,0,1046182,7041263,3875199,963518,68108,116097,779313,1046045,514072,293539,238434,68018,482992,47763,1266863,20142,-114791,1361512,3166064,2945570,220494,692114,1406474,49.2091630855447,43.577585554257794
1987:Q4,3343956,16262,133651,85943,18940,3362,68768,14966,31790,2648,19364,0,109168,55140,54028,27104,275803,538063,224,12817,805346,1248505,106590,12500,0,1129415,6691579,4169299,986175,73768,116224,796183,1085339,525461,307345,252533,66301,522356,47866,1461262,20250,83228,1357784,2522280,2287678,234602,615546,1476796,41.681190934203016,43.763825698082194
1988:Q1,3413622,18334,128805,81972,19578,3658,66367,12295,31319,3702,19051,0,110363,59450,50913,28833,270421,538954,215,12167,841376,1292579,112532,23443,0,1156603,6947812,4277084,1011324,73507,115753,822064,1115255,529046,330501,255709,63262,524786,48823,1513634,19750,99993,1393891,2670728,2420352,250376,601302,1506662,39.909543569813884,43.875777046760376
1988:Q2,3476446,25398,135592,74680,17533,3075,64426,15348,26880,6107,16091,0,116456,63626,52830,28138,266069,543200,216,11478,877010,1313175,117084,28388,0,1167703,7127666,4343457,1047566,77847,116168,853551,1138667,545422,336235,257010,66278,534527,46307,1510112,19050,97708,1393354,2784209,2516095,268114,598251,1540338,38.83893849407779,43.88845892804415
1988:Q3,3521373,26273,133955,78949,16336,3695,62416,13725,26761,5918,16012,0,121849,68062,53787,27990,245024,550938,226,10912,890081,1352729,119672,24893,0,1208163,7168404,4427547,1074802,80303,115932,878567,1143547,546270,344464,252813,70320,531229,45149,1562500,17800,130712,1413988,2740857,2460529,280328,577560,1547415,37.324180709641944,43.7729580228571
1988:Q4,3797409,21554,145405,82273,15649,4981,64397,13648,27933,6022,16794,0,133407,72650,60757,30781,230344,615657,231,10627,895916,1546187,121624,24014,0,1400550,7519907,4651419,1102799,85676,116409,900714,1186962,568300,353269,265393,76451,576096,44371,1664740,19012,142462,1503266,2868488,2559333,309155,575230,1627712,35.33978598037357,43.98910118819926
1989:Q1,3938977,18622,138197,74379,16461,3744,82449,14686,37140,7692,22931,0,121774,69121,52653,35128,243434,623683,202,10876,927042,1642986,125944,23086,0,1493956,7802439,4818619,1127636,96147,115626,915863,1222755,571690,373997,277069,88918,577312,49134,1752864,20696,127866,1604302,2983820,2670653,313167,588162,1668279,35.255608933053736,44.325945400337105
1989:Q2,3981713,17113,139884,80721,16718,3524,88980,17526,39716,7090,24648,0,120052,65660,54392,35023,261289,627617,169,11643,955263,1623717,129233,25247,0,1469236,8015895,4856300,1162621,110059,115090,937472,1250365,580685,390399,279281,92560,581921,43378,1725455,22555,110370,1592530,3159595,2837245,322350,619872,1706442,36.325399458365546,44.805202023402856
1989:Q3,4011475,13992,141324,73203,17033,2449,93651,14351,44739,6564,27997,0,117893,62117,55776,35450,285558,633029,165,12045,964676,1621007,131720,32301,0,1456986,8267097,4872931,1181428,113273,114688,953467,1252171,584252,387529,280390,92871,577571,42076,1726814,24454,73171,1629189,3394166,3057566,336600,639255,1704701,37.499532898758645,44.58640624282367
1989:Q4,4097561,14705,153925,80610,16224,2783,107244,14291,51432,9170,32351,0,122567,58738,63829,42055,287674,699734,166,11709,937992,1620173,135952,34501,0,1449720,8495857,4939677,1197917,107112,115490,975315,1284119,608345,402431,273343,96187,597901,38289,1725264,26280,88985,1609999,3556180,3140008,416172,674874,1754077,38.474587697551335,45.03913009126601
1990:Q1,4102252,15669,144236,69847,19781,2036,87382,11574,44125,7046,24637,0,116808,58296,58512,42874,278230,711776,162,11097,943706,1658648,134930,41043,0,1482675,8462659,5027324,1222979,126034,114943,982002,1316096,602120,424819,289157,98824,588308,42256,1758861,28004,126999,1603858,3435335,3006907,428428,628278,1783537,35.226521257632996,45.40917824526407
