date,LM263192305.Q,LM263192313.Q,LM263092313.Q,LM103092305.Q,LM763092305.Q,LM513092305.Q,LM543092375.Q,LM613092305.Q,LM663092305.Q,LM733092305.Q,LM103192305.Q,LM115114305.Q,LM753192305.Q,LM513192305.Q,LM543192375.Q,LM613192305.Q,LM663192305.Q,LM733192305.Q,LM503192305.Q,LM263092305.Q,LM263092323.Q,LM263192323.Q,LM263192005.Q,LM263092001.Q
1945:Q4,281,ND,ND,272,1,2,4,1,1,0,309,11,36,65,57,4,35,0,0,517,ND,ND,7227,2507
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,281,ND,ND,271,1,3,4,1,1,0,305,11,37,66,57,4,36,0,0,516,ND,ND,7227,2503
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,325,ND,ND,314,1,3,4,1,2,0,324,12,37,66,57,4,37,0,0,537,ND,ND,8366,2603
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,374,ND,ND,362,1,3,4,2,2,0,359,13,38,66,58,5,36,0,0,575,ND,ND,9625,2787
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,2155,ND,ND,2074,11,10,13,22,25,0,1329,39,76,134,116,9,58,0,0,1761,ND,ND,55410,8532
1966:Q1,2195,ND,ND,2112,11,10,13,23,26,0,1354,40,76,134,116,9,57,0,0,1786,ND,ND,56434,8657
1966:Q2,2255,ND,ND,2169,11,10,14,24,27,0,1375,40,76,135,117,9,58,0,0,1810,ND,ND,57979,8773
1966:Q3,2301,ND,ND,2214,12,10,14,24,27,0,1369,40,77,135,117,9,59,0,0,1806,ND,ND,59176,8754
1966:Q4,2296,ND,ND,2207,12,10,14,25,28,0,1434,40,73,128,111,8,52,0,0,1846,ND,ND,59042,8947
1967:Q1,2350,ND,ND,2258,13,11,14,25,29,0,1474,41,73,129,112,9,52,0,0,1890,ND,ND,60425,9157
1967:Q2,2385,ND,ND,2290,13,12,15,26,29,0,1518,42,74,129,112,9,51,0,0,1935,ND,ND,61317,9377
1967:Q3,2433,ND,ND,2336,14,13,15,26,29,0,1546,43,74,129,112,9,51,0,0,1964,ND,ND,62556,9520
1967:Q4,2552,ND,ND,2452,15,14,15,26,30,0,1567,44,77,136,118,9,52,0,0,2003,ND,ND,65610,9708
1968:Q1,2598,ND,ND,2494,16,15,16,27,30,0,1640,45,77,136,118,9,52,0,0,2077,ND,ND,66795,10065
1968:Q2,2651,ND,ND,2545,17,16,16,27,30,0,1668,46,78,136,118,9,52,0,0,2107,ND,ND,68156,10212
1968:Q3,2716,ND,ND,2607,18,17,16,27,31,0,1691,47,79,136,119,10,54,0,0,2136,ND,ND,69837,10352
1968:Q4,2865,ND,ND,2752,19,18,17,28,31,0,1702,48,81,143,124,9,53,0,0,2160,ND,ND,73669,10468
1969:Q1,2928,ND,ND,2813,20,19,17,28,31,0,1765,49,82,143,124,10,53,0,0,2226,ND,ND,75296,10790
1969:Q2,3003,ND,ND,2883,21,21,18,28,32,0,1811,50,83,143,125,10,54,0,0,2276,ND,ND,77224,11029
1969:Q3,3070,ND,ND,2947,23,22,18,28,32,0,1860,52,84,144,125,11,54,0,0,2330,ND,ND,78952,11293
1969:Q4,3231,ND,ND,3104,24,23,18,29,33,0,1979,53,77,136,117,9,40,0,0,2411,ND,ND,83073,11684
1970:Q1,3317,ND,ND,3185,26,25,19,29,33,0,2102,54,78,136,118,9,40,0,0,2537,ND,ND,85303,12294
1970:Q2,3419,ND,ND,3284,27,27,19,29,33,0,2147,56,79,136,118,10,40,0,0,2586,ND,ND,87920,12532
1970:Q3,3488,ND,ND,3346,29,29,20,30,34,0,2220,58,80,137,119,10,40,0,0,2664,ND,ND,89675,12912
1970:Q4,3669,ND,ND,3523,31,31,20,30,34,0,2286,59,79,140,121,9,35,0,0,2729,ND,ND,94349,13224
