date,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092305.Q,FU763092305.Q,FU513092305.Q,FU543092375.Q,FU613092305.Q,FU663092305.Q,FU733092305.Q,FU103192305.Q,FU115114305.Q,FU753192305.Q,FU513192305.Q,FU543192375.Q,FU613192305.Q,FU663192305.Q,FU733192305.Q,FU503192305.Q,FU263092305.Q,FU263092323.Q,FU263192323.Q,FU263192005.Q,FU263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2017:Q1,4339,18456,14118,3818,202,121,109,137,0,-48,1458,-126,-492,-456,-184,152,-1450,3887,0,2789,3185,395,122321,98847
2017:Q2,-27146,-11936,15209,-23088,-961,-391,-211,-1290,0,-1205,-5146,-109,-436,-460,176,-34,913,2391,0,-2705,-6195,-3489,82631,82288
2017:Q3,8478,28583,20105,7436,321,170,79,351,0,121,-2668,-189,-1139,-519,-18,119,-195,2348,0,-2261,7691,9952,110175,74236
2017:Q4,-24474,-24121,354,-20729,-965,-666,-191,-969,0,-954,-2191,43,-974,-446,230,-154,1829,-4405,0,-6068,-6961,-894,38536,69701
2018:Q1,91065,84884,-6181,82994,2144,1103,683,2392,0,1749,-15544,950,-1560,-930,-1160,-272,-1551,-12705,0,-32772,-10063,22709,-43887,33819
2018:Q2,3902,6953,3052,3196,270,254,-296,317,0,161,-44082,913,-1455,-884,-1407,-231,-1230,1248,0,-47128,-47641,-513,-60833,-5428
2018:Q3,-3737,26635,30372,-3346,-14,122,-71,60,0,-488,-1903,2802,-382,-394,-639,122,-544,-1911,0,-2849,-7426,-4576,56040,107367
2018:Q4,-917,-45465,-44548,-1140,-189,-37,-35,329,0,155,-11362,-5,-873,-768,-950,8,-1475,-4356,0,-19781,-21796,-2015,-80341,80658
2019:Q1,-87209,-58679,28529,-74756,-3439,-1770,-776,-3693,0,-2775,-15032,-180,-1083,44,368,-605,1836,5257,0,-9395,-12379,-2984,-24328,67622
2019:Q2,2301,45162,42862,1510,43,199,53,163,0,333,-5347,-75,-1018,-60,457,-216,1247,2140,0,-2872,-6496,-3624,44077,67791
2019:Q3,-49764,-32565,17198,-42313,-1821,-1151,-520,-2142,0,-1817,5536,462,-847,325,624,-174,1339,-8466,0,-1201,3562,4764,-10623,53839
2019:Q4,18397,-21294,-39690,15053,733,593,221,775,0,1022,7664,-168,-955,-512,-107,630,1359,-14732,0,-6821,5420,12241,46503,67436
2020:Q1,-36286,-19261,17025,-30540,-1388,-936,-382,-1544,0,-1496,-14898,-411,-1073,-503,-83,-528,-2570,913,0,-19153,-25007,-5854,20614,25714
2020:Q2,25078,-50933,-76012,20837,998,761,281,1010,0,1191,-13530,-200,-787,-591,96,-300,1942,323,0,-13047,-10169,2878,157206,20342
2020:Q3,-25411,33286,58697,-21102,-987,-715,-307,-1140,0,-1160,-6181,-233,-203,-35,-61,-27,696,853,0,-5191,22464,27655,66234,34229
